Name,Description,Link
,,
Auto Video Upload & Description for TikTok/Instagram,"Automates video processing by monitoring a Google Drive folder, extracting audio with OpenAI, generating social media descriptions, and uploading to TikTok and Instagram via upload-post.com API. Includes Telegram error alerts.",https://drive.google.com/file/d/1yLI4KXi1XoryRX73KwhrDVb1QaA5jcai/view?usp=sharing
AI Instagram Caption Generator with Airtable,"Automates creation of Instagram captions by integrating Airtable editorial plans with OpenAI's GPT-4 via n8n. Uses Airtable for briefing and background info on target audience, then generates creative, CTA-focused captions tailored for social media posts.",https://drive.google.com/file/d/15xxfNFe-tR44nRDIAkJSs6iRJIvYRbQ7/view?usp=sharing
Instagram Auto Posting via Google Drive & AI,"Automates Instagram Reel posting using Google Drive triggers, OpenAI for generating captions, Google Sheets for data management, and Facebook Graph API for publishing. Integrates Google Drive, OpenAI GPT-4o-mini, Google Sheets, and Meta APIs to streamline content upload to Instagram.",https://drive.google.com/file/d/1bSFcUqouWiDZQwTPnJGlnNQ7pCt6gPnG/view?usp=sharing
Auto Instagram Content Creator with AI & Google Sheets,"Automates Instagram post creation by generating unique content concepts, detailed AI image prompts, and captions using Google Gemini LLM, with image generation on Replicate Flux, managing ideas from Google Sheets and publishing through Instagram Graph API.",https://drive.google.com/file/d/1WnGOO2NkDckvX91R7Ei68duktebWTG7I/view?usp=sharing
AI-Driven Instagram Trend Content Creator,"Automates Instagram content creation by scraping top trending posts with RapidAPI, analyzing images with OpenAI GPT-4 Vision, generating unique AI images via Replicate Flux AI, and posting with Facebook Graph API. Sends Telegram notifications on status updates. Ideal for creators leveraging AI for engaging posts.",https://drive.google.com/file/d/1-31QNvfYuRH7syiGuAro6P40SmKq22Dt/view?usp=sharing
AI-Powered Instagram Trend Content Generator,"Automates Instagram content creation by scraping top trending posts via RapidAPI Instagram Scraper, filtering images, analyzing with OpenAI GPT-4 Vision, generating captions, creating images using Replicate Flux AI, and publishing via Facebook Graph API with Telegram notifications.",https://drive.google.com/file/d/1_FKqkVzhMML-kZMydNxaKBQ0Y1mK7a9E/view?usp=sharing
Instagram ChatGPT Auto-Responder Bot,"An n8n workflow integrating ManyChat and OpenAI's ChatGPT to automate Instagram messaging. It receives messages from Instagram via ManyChat webhook, processes them with AI using custom prompts and memory context, and replies automatically in the influencer's style.",https://drive.google.com/file/d/1LOaCYS4mf8NrE0G8vkZOQpHOxxsouic6/view?usp=sharing
Instagram AI Comment Responder,"Automates Instagram comment replies using Instagram Graph API, OpenRouter AI (Google Gemini 2.0), and n8n workflow. It filters comments, generates context-aware responses in Brazilian Portuguese for AI/automation content, and posts replies automatically.",https://drive.google.com/file/d/1aR9bMB5H-0pl6oqjZD5iyum2lkGRGSaM/view?usp=sharing
Multi-Image Upload to Instagram & TikTok,"Automates uploading multiple images to Instagram and TikTok using the Upload-Post API. It fetches images, renames binary data for upload, merges files, and sends multipart-form requests with API key authorization, simplifying cross-platform social media posts.",https://drive.google.com/file/d/1yFmktVBEypnEm6ELBtshZU2TmKyzhHDN/view?usp=sharing
Instagram Stats Daily Report to Mattermost,"Automates daily reporting of Instagram statistics using Google Sheets for data storage, formats date with n8n DateTime node, and posts formatted stats to Mattermost channel via API for team updates.",https://drive.google.com/file/d/1Kw8fGV-AepXanww8ULCCHT_FOZ_kARZA/view?usp=sharing
