Name,Description,Link
,,
Automated Social Media Content Publisher,"An n8n workflow utilizing OpenAI GPT-4 and LangChain that automates content creation and publishing across Twitter (X), Instagram, Facebook, LinkedIn, Threads, and YouTube Shorts. It dynamically composes prompts and schemas from Google Docs, generates contextual posts with AI, creates matching images using pollinations.ai, and publishes or archives content with approvals and notifications.",https://drive.google.com/file/d/11VQSI4eUyaiN-ypIG0X8QFxU9Ov1xSkZ/view?usp=sharing
Automated Social Media Content Publisher & Prompt Composer,"An n8n workflow automating content creation and publishing across TikTok (YouTube Shorts), Instagram, Facebook, Twitter (X), LinkedIn, and Threads using OpenAI GPT-4o-mini and Langchain for AI content generation, Pollinations.ai for image creation, imgbb API for image hosting, Google Docs for prompts/schema storage, and platform APIs for auto-posting. It supports human approval via Gmail and structures posts per platform specs.",https://drive.google.com/file/d/1JZEGNwbwyFEvpV1KGO6hUmdTuGhQFL1x/view?usp=sharing
Social Media Post Generator & Twitter Poster,"Automates social media post creation by fetching content ideas from Google Sheets, generating posts using OpenAI GPT-4, posting to Twitter via Twitter API, and updating Google Sheets with posting info. Integrates Google Sheets, OpenAI, and Twitter APIs.",https://drive.google.com/file/d/1WV6ohz_cz4VvM1BQKaolxmvcPjgiv-pQ/view?usp=sharing
Blotato Multi-Platform Social Media Publisher,"Automates publishing of videos and images to Instagram, Facebook, YouTube, TikTok, Twitter, LinkedIn, Pinterest, Threads, and Bluesky using Blotato API. Integrates Airtable for content management and OpenAI GPT-4 for optimizing YouTube titles, enabling streamlined multi-channel social media scheduling.",https://drive.google.com/file/d/1dy8IqWsFHNQozYMviMZhyeeagY-A6WwI/view?usp=sharing
Auto Video Upload & Caption for Social Media,"Automates uploading videos from a Google Drive folder to TikTok, Instagram, and YouTube using upload-post.com API. Extracts audio with OpenAI to generate engaging captions, sending error alerts via Telegram. Tech: Google Drive, OpenAI, upload-post.com API, Telegram.",https://drive.google.com/file/d/1aKr26OWEOaKCsMBgA8vQhNit9VMlmMC4/view?usp=sharing
AI Social Media Publisher from WordPress,"Automates social media posting from WordPress content using AI-generated, platform-tailored captions and images. Integrates WordPress, Google Sheets, OpenRouter (Gemini 2.0), OpenAI, and APIs for X (Twitter), Facebook, Instagram, and LinkedIn for multi-platform publishing.",https://drive.google.com/file/d/1THm8beLZiDck3KFlYIExQT4gjwj-GEIf/view?usp=sharing
Automated Social Media Insights for Meetings,"Daily fetches Google Calendar meetings, enriches attendees via Clearbit, retrieves LinkedIn and Twitter posts via RapidAPI, summarizes social activities using OpenAI GPT-4, and emails personalized summaries via Gmail. Tech: Google Calendar, Clearbit, RapidAPI LinkedIn & Twitter APIs, OpenAI GPT-4, Gmail.",https://drive.google.com/file/d/1I5jq38h5NHlAFl7vjN1x0ZBBcOXKKj-u/view?usp=sharing
Social Media Multi-Platform Publisher,"Automates posting photos/videos on TikTok, X, Facebook, YouTube, Instagram, Threads, LinkedIn via Upload-Post.com API. Uses n8n form trigger for uploads, then posts media with captions. Includes success/error feedback forms to users.",https://drive.google.com/file/d/19hczbhBigELjjHCK2AjZHTI7-3QuELrt/view?usp=sharing
AI-Powered Social Media Lead Outreach,"Automates social media analysis from LinkedIn and Twitter via RapidAPI, uses OpenAI GPT-4 for personalized cover letter and subject generation, integrates Google Sheets for lead management, and sends customized emails via SMTP. Ideal for marketers and lead gen pros.",https://drive.google.com/file/d/11XTwZ2p4wpr_3-A1ITMZyYyNu-I72Z5J/view?usp=sharing
AI Social Media Caption Creator,"Automates generating creative Instagram captions using n8n workflow with OpenAI GPT-4 and Airtable. It triggers on new Airtable records with briefing data, enriches context via background info, crafts captions via a Langchain AI Agent, and updates Airtable editorial plans seamlessly.",https://drive.google.com/file/d/1RCZIKYosJCIqNFzIeyyq4SglnrYWvCNp/view?usp=sharing
AI Social Media Auto-Poster from Hacker News,"Automates curation and posting of trending GitHub projects from Hacker News to Twitter and LinkedIn using OpenAI GPT-4, Airtable, Telegram, and n8n. Extracts GitHub links, generates engaging content, schedules posts, and prevents duplicates.",https://drive.google.com/file/d/1D2YPacSoK0xV69xhLOLbJGyA9ANHVV7B/view?usp=sharing
Automated Social Media Digest for Meetings,"An n8n workflow that fetches attendees' LinkedIn posts and Twitter tweets using RapidAPI, enriches company data via Clearbit, and emails a daily digest before meetings. Integrates Google Calendar, Gmail, LinkedIn and Twitter APIs to streamline meeting prep with social insights.",https://drive.google.com/file/d/1M2Lm1ADma-iJFg_RBqovTgjkRCOwZRII/view?usp=sharing
AI-Powered Social Media Link Scraper,"An autonomous AI workflow using n8n, OpenAI GPT-4o, and Supabase to crawl websites from a database, extract all social media profile URLs, and store them in a structured format. It leverages HTML parsing, HTTP requests, LangChain tools, and data cleaning.",https://drive.google.com/file/d/13XpFJ7h8fCFCO4AyfrKocGWoXufA3Wlc/view?usp=sharing
Autonomous Social Media Profile Crawler,"n8n workflow leveraging OpenAI GPT-4, LangChain, Supabase DB, and built-in HTTP/HTML nodes to autonomously crawl company websites, extract and standardize social media profile URLs into JSON format, and store results back to a database. Highly customizable multi-page crawler.",https://drive.google.com/file/d/18FegbM6RJw-SuJ3IkUYwidHlcx0tlF3-/view?usp=sharing
Social Media Lead Analyzer & Email Generator,"Automates lead outreach by extracting LinkedIn and Twitter posts via RapidAPI, analyzes data using OpenAI GPT-4, and generates personalized HTML cover letters sent via SMTP. Integrates Google Sheets for lead data and tracking, ideal for marketers and sales pros.",https://drive.google.com/file/d/16_QHpzU3JYQdZ8t0EngjGQiO5HxpZG0g/view?usp=sharing
