Name,Description,Link
,,
Discord AI Management Bot,"An n8n workflow integrating Discord bot API and OpenAI's GPT-4o-mini model to manage Discord server channels with AI-driven message responses. Features workflow & chat triggers, context memory, and multi-channel posting for automated, stylish Discord communication.",https://drive.google.com/file/d/1DFqHsdwzn3iX3bOrqA4pF3ZcRqoRoatP/view?usp=sharing
Discord AI Spam Moderation Workflow,"Automates spam detection and moderation on Discord using AI text classification (Langchain) and OpenAI GPT model. Retrieves messages, groups by user, flags spam, notifies moderators with human-in-the-loop decisions, and executes moderation actions with Discord bot integration.",https://drive.google.com/file/d/1fkSPg0bgV5-g8bgtPo22PV0b9aFiZJBd/view?usp=sharing
Product Hunt Top 5 Posts to Discord,"Automates hourly fetching of the top 5 Product Hunt posts via GraphQL API, processes post data, and sends formatted summaries to a Discord channel using webhook. Uses n8n automation with Cron, GraphQL, Item Lists, Set, and Discord nodes.",https://drive.google.com/file/d/1x_1tOPvXlRJWDN6lD9RhEqNd6afCu7se/view?usp=sharing
Sync Discord Events to Google Calendar,"Automate syncing of Discord scheduled events to Google Calendar using Discord API and Google Calendar API. On a schedule, fetches events from a Discord server and creates or updates matching events in Google Calendar for seamless event management.",https://drive.google.com/file/d/1BmjPR3VcIKp3HleZwR74fkuL25BxKVd6/view?usp=sharing
Google Sheets to Discord Message Notifier,"Automates sending updated Google Sheets rows as formatted ASCII tables to a Discord channel using Google Sheets API, a custom JavaScript code node, and Discord webhooks. Ideal for real-time collaborative update notifications.",https://drive.google.com/file/d/1QbWByb3DfZbE279IEvS_509zXXGxVb8C/view?usp=sharing
Webflow Form to Discord Channel Automation,Automates sending Webflow form submissions to Discord by creating dedicated channels per form via the Discord Bot API and Webflow API. Dynamically manages channels and notifies #general with links using n8n workflow automation.,https://drive.google.com/file/d/1DSmTNmjpTKf9v-2GFAxpgLGxOX1dRuNR/view?usp=sharing
Discord AI Helpdesk Ticket Sorter,"An n8n workflow integrating Discord Webhooks and OpenAI GPT-4 to automatically categorize user feedback into success stories, urgent issues, or regular tickets for targeted departmental routing, enhancing support efficiency with AI-powered message classification.",https://drive.google.com/file/d/1RxVO_PnT5aaUibqLpPLqcoMHR81nJca3/view?usp=sharing
YouTube Video AI Summaries to Discord,"Automates fetching new YouTube videos from a channel's RSS feed, retrieves English captions via YouTube API with OAuth2, summarizes transcript content using OpenAI's GPT-3.5, and posts concise bullet-point summaries with video links to a Discord channel via webhook.",https://drive.google.com/file/d/1SoV6xcDHWW8xJ0Ir2_QFkoU2CeyNvvb4/view?usp=sharing
YouTube Videos AI Summary & Discord Alert,"Automates summarizing YouTube video captions using YouTube API and ChatGPT (OpenAI), then posts engaging summaries to Discord via webhook. Triggered by new videos from a channel's RSS feed, it fetches English captions, converts them, creates bullet-point summaries, and shares them instantly to Discord.",https://drive.google.com/file/d/1cB53MA7Ijw1wQoNtNTNqdBRvHLSM6Zz8/view?usp=sharing
Discord AI Chat Agent with MCP Integration,"An n8n workflow that enables natural language chat interaction in Discord via MCP protocol, using OpenAI GPT-4o model as AI agent. It listens to chat messages, processes with Langchain AI agent, and interacts with a customizable MCP server for powerful Discord bot capabilities.",https://drive.google.com/file/d/1zIoNI00ZFNg3fAB0Zjw-4hebImxa0lyU/view?usp=sharing
Shopify Inventory Alert to Discord,"Automates Shopify inventory monitoring via webhooks and GraphQL API. Sends low stock or out-of-stock alerts with product info and images to Discord channels using Discord Bot API, enabling timely inventory management.",https://drive.google.com/file/d/13ZoJy9w7ucwLb6bbPatllLKSmrdeOGKk/view?usp=sharing
Discord MCP Server Automation,"An n8n workflow that automates Discord server management using Discord Bot API and custom API calls. It enables sending messages to channels or users, waiting for replies, managing roles, and fetching servers, channels, and members. Integrated with MCP trigger for flexible event-driven automation.",https://drive.google.com/file/d/1qoJEq27G-86JjGLp4n6e2zangadttvdM/view?usp=sharing
Automated Discord Channel Cleanup,"This n8n workflow automates daily cleanup of Discord channels by deleting messages older than 7 days. It uses Discord API, scheduled triggers, batching, filtering, and waits to respect rate limits, ensuring efficient and compliant channel management.",https://drive.google.com/file/d/13WGNY8H24gfk5jF_zuNp1OLLhROlf89l/view?usp=sharing
Website Availability Monitor with Discord Alerts,"An hourly website content monitor using n8n's HTTP Request node to check for specific text ('Out Of Stock'), conditionally triggering Discord notifications via webhook. Integrates Cron for scheduling, IF node for logic branching, and Discord nodes for alerting.",https://drive.google.com/file/d/1gd6YtVfn_-fpA5cZoUfqkFtxZA__bq8k/view?usp=sharing
GitHub Notifications to Discord Alert,"This n8n workflow fetches GitHub notifications every minute using GitHub API with Basic Auth, processes them to create a summary report, then sends the report as a tagged message to a Discord channel. Utilizes Cron, HTTP Request, Function, IF, and Discord nodes.",https://drive.google.com/file/d/1bLtdufclHLDjqEclh7FuS0M_o2rT0YE3/view?usp=sharing
Youtube Podcast Discord AI Bot,"An n8n workflow that creates a Discord AI assistant using Google Gemini chat and Langchain memory. It responds to user questions with context-aware answers about 'Presting Podcasts' YouTube videos, integrating webhook input and formatting replies for Discord.",https://drive.google.com/file/d/1H0UQk68RP6_Phch8_WA_afD2_tzOYcQ2/view?usp=sharing
Discord Member Role Filter with Google Sheets,"Automates fetching Discord server members using Discord Bot API, filters by role, and tracks progress in Google Sheets. Useful for managing member lists and roles with n8n integration of Discord API and Google Sheets.",https://drive.google.com/file/d/1ojjKck-KdFLAfjx-txnSsVKqAQ-xJYAC/view?usp=sharing
Scheduled Discord Meme Poster,"An n8n workflow that automates posting memes to Discord channels using Discord Webhooks, triggered by cron schedules set for specific weekdays and intervals. It leverages n8n's Cron and Discord nodes to send customized memes on Wednesdays, Fridays, and every 30 minutes.",https://drive.google.com/file/d/1XOhZZO0Z_WXighwtUUaA7eWw7YtMD2q9/view?usp=sharing
Discord Message Sender,"Simple n8n workflow sending a 'Hello World!' message to a Discord channel via webhook API. Triggered manually, it demonstrates basic Discord integration using n8n's built-in Discord node and webhook URI.",https://drive.google.com/file/d/1FEFL-DjpQv49n5Re7_Wsv_fnegoksULq/view?usp=sharing
