Name,Description,Link
,,
Stripe Invoice Payment to HubSpot and Slack Alert,"Automates workflow for Stripe invoice payments: triggers on payment success, searches and updates HubSpot deals by PO number, and sends detailed Slack notifications to accounting team. Uses Stripe API, HubSpot API (OAuth2), and Slack for seamless payment tracking.",https://drive.google.com/file/d/1-7YiL-poCNlNsfMvwol1BaqjCvJLbsmH/view?usp=sharing
Lead Qualification & Slack Notification,"Automates lead capture from a form, verifies email via Hunter API, scores leads using MadKudu API, and sends qualified lead alerts to Slack. Utilizes n8n form trigger, Hunter email verifier, MadKudu lead scoring, and Slack API integration for streamlined lead management.",https://drive.google.com/file/d/10xmEL9gLmU7xXuRL-1q4_VAu-sRYvHVc/view?usp=sharing
"AI Topic Monitoring with RSS, OpenAI, Slack","Automates topic monitoring by fetching RSS feeds from Google Sheets URLs, classifying relevance with OpenAI GPT-4o-mini, scraping content via Jina AI, summarizing articles for Slack, and storing metadata in Google Sheets. Ideal for professionals tracking AI-related news.",https://drive.google.com/file/d/1nxjSs_UyjPwus20k3jvVmiqlQt2K17Wz/view?usp=sharing
Slack AI Assistant with Google Gemini,"An n8n workflow that receives Slack messages via webhook, processes them with Google Gemini AI and Langchain memory, and sends contextual AI-powered replies back to Slack channels, enabling interactive and persistent AI assistance within Slack.",https://drive.google.com/file/d/1IYFDYvYN_3yMj_pwMuZr0tnye9w2vIiN/view?usp=sharing
Slack to Linear AI Ticket Creator,"Automates support ticket creation by monitoring Slack with ticket emoji, uses OpenAI GPT for summarizing, titling, prioritizing issues, and creates tickets in Linear. Tech: Slack API, Linear API, OpenAI (ChatGPT) via n8n nodes.",https://drive.google.com/file/d/1QdHPJrmHbdzSCMY3Vt-CLtbRkfHBACjo/view?usp=sharing
Daily Meeting Summary with Gemini AI & Slack,"Automates daily meeting summaries by retrieving Google Calendar events, processing them with Google Gemini AI model, and sending concise summaries to a Slack channel. Uses Google Calendar API, Google PaLM API, Slack API for seamless team communication.",https://drive.google.com/file/d/1CXZfOb1ObAyC85qXFC41qdX7J60K3om9/view?usp=sharing
Daily Meeting Summarizer with Gemini AI & Slack,"Automates daily retrieval and summarization of Google Calendar meetings using Google Gemini AI model and Langchain Calendar AI Agent, then posts concise summaries back to a Slack channel. Integrates Google Calendar API, Google Gemini (PaLM) AI, Slack API, and n8n automation.",https://drive.google.com/file/d/1W3Q-27Dh3z7D0d24gkAtcSnaSA9evm-I/view?usp=sharing
Qualys VM Scan Automation with Slack Alerts,"Automates vulnerability scan launching and monitoring using the Qualys API, converting XML to JSON in n8n. The workflow loops to check scan status until finished, posting summaries and links to Slack channels for real-time updates. Uses n8n, Qualys API, and Slack integration.",https://drive.google.com/file/d/1gEQ7E6ZjuoMF4Cj9okbJGbDth8CTfAsg/view?usp=sharing
Qualys Report Automation & Slack Delivery,"Automates Qualys security report generation using Qualys API and n8n. Fetches report templates, launches reports, polls for completion, downloads results, converts XML to JSON, and posts reports to Slack for SOC teams. Uses n8n HTTP, XML, Slack nodes.",https://drive.google.com/file/d/1DAARRWkgM0_Cw1YZOOGSC_eCxNf_cvD6/view?usp=sharing
TheHive Slack Integration for SOC Case Management,"Automates TheHive case updates via Slack using TheHive API and Slack Block Kit. Features include case creation notifications, status/severity/TLP/PAP updates, assignee changes, and task additions with interactive Slack modals. Ideal for SOC teams to streamline incident response.",https://drive.google.com/file/d/1R2LlPcquuRAbqzZldfeKELqr9poxw1n7/view?usp=sharing
Slack-ServiceNow Incident Search Bot,"An n8n workflow integrating Slack API and ServiceNow API to let Slack users search for ServiceNow incidents by priority and state via a Slack modal interface. It sends incident summaries to a selected Slack channel or DM, enhancing IT service management communication.",https://drive.google.com/file/d/1i-BBY-ajGpNHesGTFi_E3WusmbCAlXoi/view?usp=sharing
Slack Weekly Team Activity Report,"Automates the creation of weekly team activity reports from Slack messages using Slack API and Google Gemini LLM. It fetches last week's messages, summarizes threads, generates individual and team reports, and posts them back to Slack every Monday at 6am.",https://drive.google.com/file/d/1Iy5d-sJwRI8oNW1ySO7nk7LMb97qXrWi/view?usp=sharing
Clockify Time Logging Assistant for Slack,"An AI-powered n8n workflow integrating Clockify API and Slack to manage time entries via conversational chat. Uses OpenAI GPT for natural language processing, supports creating, updating, deleting time logs with user confirmation, and includes tools for date conversion and calculations.",https://drive.google.com/file/d/1sZbJ4V_9trhqU13rDDVI7kGNDE6d9Chf/view?usp=sharing
Slack to Google Calendar Event Automator,"Automates event creation and attendee management by monitoring Slack channel invites with calendar emoji, using OpenAI, SerpAPI, and Google Calendar APIs to parse event details, create events, and sync attendee reactions efficiently.",https://drive.google.com/file/d/1oDVeKlXxqfL4TEucXGPak__AB2HgEqXg/view?usp=sharing
IT Support Slack AI Bot,"Automates IT support in Slack by integrating Slack Events API, OpenAI GPT-4o, and Confluence KB via n8n. It filters bot messages, acknowledges queries, uses AI with memory buffer, and fetches contextual info from Confluence for precise IT assistance.",https://drive.google.com/file/d/1yImSIbsJ33TV3DRvlVEKWrxGupvk4uko/view?usp=sharing
Slack-ServiceNow Incident Lookup,"Automates incident retrieval from ServiceNow via Slack slash command using n8n workflow. Integrates Slack Webhook, ServiceNow API (Basic Auth), and conditional responses in Slack blocks, enabling seamless incident details inquiry and notifications directly in Slack channels.",https://drive.google.com/file/d/1lYCfxn9JEaV67aaLEby9Bz4gOdYkEPRl/view?usp=sharing
CrowdStrike Detection to Jira & Slack,"Automates cybersecurity alert handling by fetching new CrowdStrike detections, enriching them via VirusTotal API, creating Jira tickets, and notifying teams on Slack. Built with n8n featuring CrowdStrike, VirusTotal, Jira, and Slack integrations for streamlined incident management.",https://drive.google.com/file/d/19Il4cb_qTXb6J8OHx0VsPoAokQIVWneT/view?usp=sharing
Slack IT Support AI Bot,"An n8n workflow integrating Slack API, OpenAI GPT-4, and Confluence API to automate IT support queries via Slack. It verifies webhooks, filters bot messages, acknowledges user queries, fetches knowledge base results, and uses AI to generate tailored IT responses, improving IT helpdesk efficiency.",https://drive.google.com/file/d/1gSq7ZJDDhpwE3-gNm0Ekem8H1HIzuyin/view?usp=sharing
Slack AI Chatbot with RAG for Staff,"An AI-powered Slack chatbot for company staff that uses OpenAI and Anthropic models with Qdrant vector search to retrieve and answer employee queries from internal documents. Integrates Slack API, Google Drive, and Langchain nodes for seamless RAG support and real-time help.",https://drive.google.com/file/d/1ukkRVt3ZdGxpFXJYWrGjGdPdpwzkmSld/view?usp=sharing
