Name,Description,Link
,,
Stripe Invoice Payment to HubSpot and Slack Alert,"Automates workflow for Stripe invoice payments: triggers on payment success, searches and updates HubSpot deals by PO number, and sends detailed Slack notifications to accounting team. Uses Stripe API, HubSpot API (OAuth2), and Slack for seamless payment tracking.",https://drive.google.com/file/d/1-7YiL-poCNlNsfMvwol1BaqjCvJLbsmH/view?usp=sharing
AI-Powered HubSpot Chat Assistant,"An n8n workflow integrating HubSpot Conversations with OpenAI Assistants and Airtable. Automates receiving chat messages, processing via OpenAI APIs, invoking external business data APIs, and replying in HubSpot, enabling intelligent chat automation and CRM interaction.",https://drive.google.com/file/d/1O5U95C0Fce5Vl6zlwzeBwidupyEe-PGZ/view?usp=sharing
Sync Stripe Charges to HubSpot Contacts,"Automates syncing of Stripe charge data with HubSpot contacts using Stripe API to fetch charges and customers, then updating/creating HubSpot contact fields with total spend via HubSpot API. Includes scheduling, deduplication, and field management.",https://drive.google.com/file/d/1g5j7K1pueAcFrpUZA_zgB9-pdIagWE5D/view?usp=sharing
Client Feedback Routing & HubSpot Logging,"Automates client conversation processing with OpenAI summarization, routes feedback to departments via email, and logs meeting notes in HubSpot using OAuth2. Uses n8n, Langchain, Gmail API, and HubSpot API to streamline client issue management.",https://drive.google.com/file/d/1V5L_98lhaw8mzGxwa6uVmC_heUq_WgNq/view?usp=sharing
Automated Email Parsing & HubSpot CRM Update,"Workflow automates email parsing using OpenAI GPT-4o-mini model, extracts contact info, searches/updates contacts in HubSpot CRM, and creates email engagement records. Integrates IMAP email, HubSpot OAuth2 API, and LangChain AI nodes for seamless CRM enrichment.",https://drive.google.com/file/d/14xQvbwGyOSNvXn9kdoBtU1VDnbFhZjfZ/view?usp=sharing
Automated HubSpot Onboarding & Calendar Scheduler,"An n8n workflow automating new customer onboarding using HubSpot CRM, OpenAI GPT-4 for personalized welcome emails, and Google Calendar for scheduling calls. Integrates HubSpot API, Gmail, and Langchain for AI-powered calendar management and email generation.",https://drive.google.com/file/d/1WUxw_tebs85Hpq-6teIDn3Wiwr5JTHHU/view?usp=sharing
HubSpot Contacts Pagination Fetcher,"n8n workflow to fetch HubSpot CRM contacts with automatic pagination handling using HubSpot API. It manages API keys, handles rate limiting by waiting between requests, and combines all paged results into a single dataset for further processing.",https://drive.google.com/file/d/1lFWvV7V_Tq-DyLD57_LyxPTRu7-7cV5v/view?usp=sharing
Typeform to HubSpot Lead Automation,"Automates lead capture from Typeform surveys into HubSpot CRM, updating contact info and lifecycle stage, then sending a personalized Gmail follow-up. Uses Typeform API, HubSpot API, and Gmail OAuth2 for streamlined lead management and nurturing.",https://drive.google.com/file/d/16ChYGGfODuFZ9lcRgQ0xbYneRnqL1yN5/view?usp=sharing
HubSpot Deal Automation & Notification,"Automates HubSpot deal processing using HubSpot API triggers, categorizes deals by stage, creates tickets with priority in HubSpot, logs lost deals in Airtable, sends Slack notifications on deal closure, and generates Google Slides presentations for scheduled demos.",https://drive.google.com/file/d/1tIHQleT4brftfb2FeTLpPMu7N7-hTTIe/view?usp=sharing
HubSpot Contact Enrichment with Clearbit,"Automates enriching HubSpot contacts using Clearbit API. When a HubSpot contact event triggers, it fetches contact details, retrieves extra data from Clearbit (job title, company, city), and updates the HubSpot contact. Uses HubSpot OAuth2 & Clearbit APIs.",https://drive.google.com/file/d/1uadi5nO3yfOt3lK3upreM-r6RV2_gXLO/view?usp=sharing
CRM Contacts Sync Pipedrive & HubSpot,"Automates syncing and updating contacts between Pipedrive CRM and HubSpot using n8n automation platform. Utilizes Pipedrive and HubSpot APIs to fetch, compare, and update person/contact records based on email and name data on a scheduled basis.",https://drive.google.com/file/d/1lnJJKk8Q_CcwBXRW4j28nuu1QS-E68gC/view?usp=sharing
Sync Contacts from Pipedrive to HubSpot,"Automates syncing of contact records from Pipedrive CRM to HubSpot CRM using n8n workflow. Utilizes Pipedrive and HubSpot APIs to fetch all contacts, merge them by email to avoid duplicates, and update HubSpot contacts every minute via a cron trigger.",https://drive.google.com/file/d/1o95IcGatFkZcSyGxyYOC2G0v4W0iiSuT/view?usp=sharing
Daily HubSpot to Mailchimp Contact Sync,"Automates daily syncing of new HubSpot contacts (created in the last day) to a Mailchimp mailing list using OAuth2 authentication for both APIs, triggered every day at 07:00 via n8n's cron node.",https://drive.google.com/file/d/1CYRv2OSY-wx00GnqgnnsLJ_oSbDkg9IN/view?usp=sharing
Sync Mailchimp Contacts to HubSpot Daily,Automates daily synchronization of updated Mailchimp members to HubSpot contacts using Mailchimp and HubSpot APIs. Tracks last execution timestamp to fetch only recent changes. Built with n8n workflow automation tool and cron scheduling.,https://drive.google.com/file/d/1fclWrFiYGNt48Z2C0mju780P1KqkbUhy/view?usp=sharing
Sync HubSpot Companies with Zendesk Organizations,Automates syncing of recently modified HubSpot companies to Zendesk organizations every 5 mins using HubSpot and Zendesk APIs. Checks if organization exists to update or create. Uses n8n with HubSpot App Token and Zendesk API credentials.,https://drive.google.com/file/d/1-0ZEgJoXSPyQ6GUCo5JUr0QtbtH9slMD/view?usp=sharing
Zendesk-HubSpot Ticket Sync Automation,"Automates synchronization of support tickets and contacts between Zendesk and HubSpot using their APIs. Periodically updates or creates tickets in HubSpot from Zendesk tickets, manages contact data, and keeps external IDs in sync timestamps to enable seamless cross-platform support management.",https://drive.google.com/file/d/1dDaeoKZH9kOxGxQAb_G4-jw6qG2vnTRt/view?usp=sharing
HubSpot Contact Enrichment with ExactBuyer,"Automates enriching new HubSpot contacts using ExactBuyer API with OAuth2 authentication. On contact creation, it fetches the contact, uses email to get additional data from ExactBuyer, then updates HubSpot contact with enriched info like social profiles, job, and location.",https://drive.google.com/file/d/1Uicbj29hVzfSNAGbnu0Opa53_AwYGVRR/view?usp=sharing
HubSpot Contact Outreach Automation,"Automates daily outreach emails to uncontacted HubSpot leads using Gmail and records engagement in HubSpot. Utilizes HubSpot API with OAuth2 for contact retrieval and engagement logging, plus Gmail API for sending personalized cold emails.",https://drive.google.com/file/d/1o-ue_tgaPX5lPIX5U2-XkAfzhvK3UD0C/view?usp=sharing
HubSpot Contact Follow-Up Automation,"Automates follow-up outreach emails for HubSpot contacts using Gmail and HubSpot APIs via OAuth2. Runs daily at 9 am, filters contacts last contacted over 30 days ago with only one prior engagement, sends personalized emails, and records engagement in HubSpot CRM.",https://drive.google.com/file/d/1qkvSrQ78mgGsaKK11Fywhf9InWKodFUE/view?usp=sharing
