Name,Description,Link
,,
AI-Powered RAG Chatbot with Google Drive & Qdrant,"An advanced n8n workflow that creates a Retrieval-Augmented Generation chatbot integrating Google Drive, Google Gemini AI, Qdrant vector store, OpenAI embeddings, and Telegram for notifications. It processes documents, extracts metadata, stores vectors, enables conversational search, and supports secure vector data management with human confirmation.",https://drive.google.com/file/d/1lhKPdtGPJPA_DqvC9Q28yP7TMrLM668X/view?usp=sharing
Movie Recommender Chatbot with Qdrant & OpenAI,"An n8n workflow that builds a conversational movie recommendation chatbot using GitHub-stored IMDb data, OpenAI embeddings and chat models, and a Qdrant vector database for similarity search to deliver personalized movie recommendations.",https://drive.google.com/file/d/1F6F9FEsc8aWIbwXd3eaKpzGc3bGkPFU8/view?usp=sharing
Supabase File AI Chatbot Integration,"Automates document processing from Supabase storage by fetching files, extracting text/PDF content, vectorizing data with OpenAI embeddings, storing vectors in Supabase, and enabling conversational queries via an AI chat interface using Langchain and OpenAI APIs.",https://drive.google.com/file/d/1SqRfSYOoAVx71wfGCfbpJ9rJgP0WeGVK/view?usp=sharing
Voice RAG Chatbot with ElevenLabs & OpenAI,"An n8n workflow creating a voice-interactive RAG chatbot using ElevenLabs voice agents, OpenAI language models & embeddings, Qdrant vector store, and Google Drive for document ingestion. Enables answering user questions via voice by integrating speech & AI-driven document retrieval.",https://drive.google.com/file/d/1P20PWK7Gwi_5vyPUC-dWxsaGOGw-u393/view?usp=sharing
BambooHR AI Chatbot for Company Policies,"An AI-powered chatbot built with n8n using BambooHR API, OpenAI's GPT models, LangChain nodes, and Supabase for vector storage. It helps employees query company policies, benefits, and find employee or department contacts efficiently.",https://drive.google.com/file/d/1hTX_M9NvUq65O_3unLtyZnHpCzDEisAW/view?usp=sharing
Movie Recommender Chatbot with Qdrant & OpenAI,"An n8n workflow to build a movie recommendation chatbot using GitHub-hosted IMDB movie data, OpenAI embeddings and GPT-4o-mini chat model, and Qdrant vector database for vector similarity search. It processes user requests, embeds them, queries Qdrant, and returns top-3 personalized movie recommendations.",https://drive.google.com/file/d/1Nmz2kf2o-DdiHhah0LMGE8tMgKsZ_70f/view?usp=sharing
WhatsApp AI Chatbot with Qdrant RAG,"An AI-powered WhatsApp Business chatbot leveraging Meta Webhooks, OpenAI GPT-4o-mini, Qdrant vector database, and Google Drive for document retrieval. It uses a Retrieval-Augmented Generation system to answer customer queries about electronics products with contextual knowledge base support.",https://drive.google.com/file/d/1hCsScm3tdw7KOGQH1yU9cZPKd5Pf9PUn/view?usp=sharing
AI-Powered Appointment Scheduler Chatbot,"An n8n workflow integrating OpenAI GPT-4, Microsoft Outlook API, and LangChain to create an intelligent personal assistant chatbot. It handles calendar availability, books meetings, and manages enquiries with timezone-aware scheduling and email notifications for a seamless appointment booking experience.",https://drive.google.com/file/d/1-ShfFRoVy0F4YH3MqF_xLBzaFqXu_FLt/view?usp=sharing
AI Chatbot for BambooHR Policies & Benefits,"An AI-powered chatbot built in n8n using BambooHR API, OpenAI LLMs, Supabase vector DB, Langchain tools, and text splitting to assist employees with company policies, benefits, and contact info by searching documents and BambooHR employee data.",https://drive.google.com/file/d/14BN6OFtdg0a-eovU4Kz16Yg3F-g1Mbrk/view?usp=sharing
AI Pitch Deck Analyzer & Q&A Chatbot,"Automates pitch deck ingestion from Airtable, converts PDFs to images using Stirling PDF API, transcribes pages to markdown via AI Vision (OpenAI GPT-4o), extracts structured startup data, updates Airtable records, and builds a Qdrant vector store for AI-powered pitch deck Q&A chatbot.",https://drive.google.com/file/d/1U8TfomOqhsenNSlUlq-M03_Th-f8_R3K/view?usp=sharing
