Name,Description,Link
,,
"AI-Powered Telegram Assistant with Email, Calendar & Tasks","An AI assistant on Telegram integrating OpenAI GPT-4, Google Calendar, Gmail, and Baserow for task and contact management. It handles voice/text inputs, transcribes voice notes, fetches and summarizes emails and calendar events, and manages tasks, providing seamless personal assistance.",https://drive.google.com/file/d/16m9aJ6uydZ49hVnqlMSAn0PNk7VCwXIE/view?usp=sharing
LinkedIn Interaction to Email Campaign Automation,"Automates creating email campaigns from LinkedIn post interactions using Phantombuster to scrape likers and commenters, Dropcontact for contact enrichment, Airtable for contact management, and Lemlist plus Hubspot for campaign and CRM integration.",https://drive.google.com/file/d/1zK6N0IruVHwXd_N3kwHaZtZ3K00nXUgW/view?usp=sharing
Automated Email Appointment Scheduler,"An n8n workflow that uses Gmail API, Google Calendar, and OpenAI GPT-4o-mini to detect appointment requests in incoming emails, check calendar availability, compose precise meeting proposals, and automatically reply and mark emails as read.",https://drive.google.com/file/d/1hVyHXT48eJN5q3AkwjEJhvxdv-btF3Ik/view?usp=sharing
Email Expense Extractor to Google Sheets,"Automates extraction of expense data from email receipts using Gmail IMAP and Mindee Receipt OCR API, then appends data to Google Sheets. Ideal for streamlining expense tracking with n8n automation workflow.",https://drive.google.com/file/d/1eZbsT5adP24cQe_vJKF8eQu84rUA_3X9/view?usp=sharing
AI Lead Processing & Email Notification System,"Automates analysis of incoming lead notes, categorizes inquiries, finds appropriate contacts from a database, and generates email notifications. Integrates ERPNext for lead data, OpenAI for NLP analysis, Google Sheets for contact lookup, and Microsoft Outlook API to format/send emails.",https://drive.google.com/file/d/18DebTcSbQao3LdXcSPbBqd0dOr5zMUnZ/view?usp=sharing
AI Email Autoresponder with Approval,"Automates email handling using IMAP trigger, OpenAI GPT and DeepSeek models for summarization and response generation, Qdrant vector DB for business info retrieval, and Gmail for draft approval before sending. Ideal for professional, concise business email replies.",https://drive.google.com/file/d/1l-s3aUTgmZK3-99xR1gPwGFHNM_yfa-W/view?usp=sharing
Automated Phishing Email Detection & Jira Reporting,"This n8n workflow automates phishing email detection by integrating Gmail and Outlook triggers, uses hcti.io API to create email body screenshots, applies OpenAI's GPT-4o model for phishing analysis, and auto-generates Jira tickets with detailed reports and attachments for security teams.",https://drive.google.com/file/d/16m2nz-omni2RF2rXzh3oMgcMfWrx6vvF/view?usp=sharing
Automated Phishing Email Detection & Jira Reporting,"This n8n workflow automates phishing email detection by monitoring Gmail and Outlook inboxes, extracting email content and headers, generating email screenshots via hcti.io API, analyzing with ChatGPT-4, and creating detailed Jira tickets with reports and attachments for streamlined security incident management.",https://drive.google.com/file/d/1gPmFLfDCX2lTKsQ2jU8GKxO4GuX1OF6b/view?usp=sharing
Fastmail Email Auto-Reply with GPT-4,"Automates email reply drafts in Fastmail using IMAP email triggers, Fastmail JMAP API, and OpenAI GPT-4. Extracts incoming email content, generates personalized responses, and uploads replies as drafts for review and sending.",https://drive.google.com/file/d/1M9z7bXlDiWlm2W0gXHdOi7G4gqUehCn0/view?usp=sharing
