Name,Description,Link
,,
AI Summary Automation for WordPress Posts,"Automates creating AI-generated summary blocks for WordPress posts using OpenAI GPT-4o-mini, WordPress REST API, Google Sheets for tracking, and Slack for notifications. It fetches posts, checks summary existence, generates summaries in HTML bullet format, updates posts, logs data, and alerts teams.",https://drive.google.com/file/d/1yZzm7KprIx8YbmUP0j7SYCKCnStUKVkx/view?usp=sharing
WordPress AI Content Creator with Multi-Level Rewrites,"Automates creating WordPress blog drafts using OpenAI GPT models for structured content generation and rewriting at Grade 2, 5, and 9 reading levels. Integrates Pollinations.ai for featured image creation, Google Drive for backups, and Telegram for notifications.",https://drive.google.com/file/d/1O201KRSIUhcRtYeQ7N-ob7R_puHVeHy6/view?usp=sharing
PDF to WordPress Blog Creator with Human Approval,"Automates converting PDFs into SEO-friendly WordPress blog drafts using OpenAI GPT for content, Pollinations.ai for images, with Gmail for human approval and Telegram notifications for publishing updates.",https://drive.google.com/file/d/1BQQ-1hzf036GHTJzNVx7PgliTTiu0IRH/view?usp=sharing
Automated WordPress Blog Creator with GPT,"An n8n workflow automating WordPress blog posts using OpenAI GPT-4 for content and titles, PostgreSQL to track category usage, and WordPress REST API to publish posts and upload media automatically on a schedule.",https://drive.google.com/file/d/1mhzJfK7lqwbplhaEUr2ouYW79VBjeOAD/view?usp=sharing
AI Social Media Publisher from WordPress,"Automates social media posting from WordPress content using AI-generated, platform-tailored captions and images. Integrates WordPress, Google Sheets, OpenRouter (Gemini 2.0), OpenAI, and APIs for X (Twitter), Facebook, Instagram, and LinkedIn for multi-platform publishing.",https://drive.google.com/file/d/1THm8beLZiDck3KFlYIExQT4gjwj-GEIf/view?usp=sharing
"Auto SEO Blog Writer with GPT-4, Perplexity & WordPress","Automates full SEO blog content creation: collects fresh research via Perplexity API, generates SEO-optimized articles with GPT-4o, publishes to WordPress, sends Gmail & Slack notifications, and logs to Notion. Integrates OpenAI, Perplexity, WordPress, Gmail, Slack, and Notion via n8n.",https://drive.google.com/file/d/1MLR34bxBzmztxTRSalGawGgfeWkCLFrP/view?usp=sharing
WordPress RAG & GenAI Content Chatbot,"An n8n workflow integrating WordPress API, OpenAI embeddings (text-embedding-3-small), GPT-4o-mini chat model, Supabase vector DB, and Postgres for chat memory. It automates content embedding, updates, and provides a semantic search chatbot using website content.",https://drive.google.com/file/d/1_L6tgZQVrLQ_fxXjiOpFDKwAK4_6vHcf/view?usp=sharing
AI-Powered WordPress Post Creator,"Automates creation of SEO-friendly WordPress draft posts from keywords using OpenAI GPT-4 for text and DALL-E for featured images, integrates Wikipedia for fact-checking, and uploads content and images via WordPress API.",https://drive.google.com/file/d/1wR8BNQtRcGAlq9N36UBZ-0fzSaiyP0uy/view?usp=sharing
AI-Powered Scheduled WordPress Blog Publisher,"Automates generation, scheduling, and publishing of SEO-optimized WordPress blog posts using GPT-4o for content, Pexels API for images, and Google Sheets for data management. Features randomized delay for natural posting cadence.",https://drive.google.com/file/d/1DJV-YmWOIYEZCpsDbsGgyxdDi6ZFWTJ-/view?usp=sharing
