Name,Description,Link
,,
YouTube Video Summaries & Transcripts via Gemini API,"Automate extraction of YouTube video transcripts, summaries, scene descriptions, and social media clips using Google Gemini API and n8n automation. Easily customize prompts and output for versatile video content analysis and marketing.",https://drive.google.com/file/d/1rXvHn-JNH0LY8_fQY9ssLbJ9TQ2y9ANt/view?usp=sharing
AI TikTok/YouTube Shorts Reel Generator,"Automates creation of POV short-form videos for TikTok, YouTube Shorts, and Reels using OpenAI for captions & scripts, PiAPI's Flux & Kling for AI image and video generation, Eleven Labs for voiceover, Creatomate for video rendering, plus Google Sheets/Drive for data and file management.",https://drive.google.com/file/d/1CPsS3RpJECgKUlFGHhiTFLiIVp9U-Uo7/view?usp=sharing
YouTube to SEO Blog Post Automator,"Automate SEO blog post creation from YouTube videos using Dumpling AI for transcripts and image generation, OpenAI's GPT-4o for content writing, and Gmail for emailing the finished post. Converts video content into optimized, structured blog-ready HTML with engaging images.",https://drive.google.com/file/d/1_VNKcEz8sbbyHJ1_ftsqY--0OBGCaOYM/view?usp=sharing
YouTube Trend Analyzer AI,"An n8n workflow using LangChain AI, OpenAI GPT, YouTube API, and custom memory management to help YouTube creators discover trending videos and content patterns in their niche from the last 2 days. It provides insightful analytics with video stats and channels links.",https://drive.google.com/file/d/1Y2Q2622X6NPOwf-1fzeqPo6wwVbqlmpj/view?usp=sharing
YouTube Video Comment Analysis & Reporting,"Automates analysis of YouTube video details and up to 100 comments using YouTube Data API, OpenAI GPT-4o-mini, and n8n. Generates detailed creator reports with sentiment, themes, engagement, and content suggestions. Saves reports to Google Drive and sends via Gmail.",https://drive.google.com/file/d/1y8qGPOYQRB4GPgXYQ84iIjuRc5PlOCQ5/view?usp=sharing
YouTube AI Assistant Workflow,"An n8n workflow that automates YouTube content insight extraction using YouTube Data API, OpenAI, Apify, and PostgreSQL. It supports channel and video details retrieval, comment analysis, video transcription, thumbnail evaluation, and integrates AI agent conversational tools to help creators optimize and plan content.",https://drive.google.com/file/d/1V6iamEDQK1eVXYkfH4lf5uqKtBQVsN3P/view?usp=sharing
YouTube Video Chapter Generator,"Automates generating YouTube video chapters by extracting captions via YouTube API, processing transcripts with Google Gemini AI, and updating video descriptions. Integrates n8n, YouTube OAuth2 API, Google Gemini PaLM model, and Langchain nodes for structured output.",https://drive.google.com/file/d/193y-yW8SQrIbuHndsq0QPQkKbRpFCMI3/view?usp=sharing
Spotify to YouTube Playlist Sync,"Automates one-way synchronization from a Spotify playlist to a YouTube playlist using Spotify, YouTube Data API v3, and Supabase. It matches tracks by title, artist, and duration, updates playlists, manages deletions, and stores data persistently, with optional Discord notifications.",https://drive.google.com/file/d/1zQXaCQuQ9aOjFu7JLeJb9CNgyf8D8buo/view?usp=sharing
YouTube RSS Feed Notifier with Email & Telegram,"Automates monitoring of YouTube channels via RSS feeds, fetching video details using YouTube Data API, and delivers custom notifications via Gmail (individual or digest emails) and Telegram. Includes OpenAI for generating responsive HTML email cards. Ideal for content creators and marketers.",https://drive.google.com/file/d/1tmAco7hr6yKUrBDLxpREJPHdYvDZ_TRc/view?usp=sharing
