Name,Description,Link
,,
Notion-Triggered AI SEO Content Publisher,"Automates creation and publishing of SEO-optimized blog posts by detecting Notion database updates. Integrates Notion API, Langchain AI, WordPress API, Gmail, and DeepSeek AI to write, publish, notify, and log content seamlessly.",https://drive.google.com/file/d/1hJSfWAXHPzpn1QJKShbu8czAZq0OGKoT/view?usp=sharing
YouTube to SEO Blog Post Automator,"Automate SEO blog post creation from YouTube videos using Dumpling AI for transcripts and image generation, OpenAI's GPT-4o for content writing, and Gmail for emailing the finished post. Converts video content into optimized, structured blog-ready HTML with engaging images.",https://drive.google.com/file/d/1_VNKcEz8sbbyHJ1_ftsqY--0OBGCaOYM/view?usp=sharing
"Auto SEO Blog Writer with GPT-4, Perplexity & WordPress","Automates full SEO blog content creation: collects fresh research via Perplexity API, generates SEO-optimized articles with GPT-4o, publishes to WordPress, sends Gmail & Slack notifications, and logs to Notion. Integrates OpenAI, Perplexity, WordPress, Gmail, Slack, and Notion via n8n.",https://drive.google.com/file/d/1MLR34bxBzmztxTRSalGawGgfeWkCLFrP/view?usp=sharing
Automated Website Content SEO Audit,"This n8n workflow generates a detailed SEO content audit report for up to 1000 pages of any website using DataForSEO On-Page API and Google Search Console API. It analyzes technical SEO, content quality, metadata, linking, and performance, delivering a branded HTML report with key recommendations.",https://drive.google.com/file/d/1HcMzBHWAlVQrsA8japnpSlZ0djczmQbH/view?usp=sharing
Service Page SEO Blueprint Generator,"An n8n workflow that analyzes competitor service pages and user intent using Jina Reader API and Google Gemini AI. It generates a detailed SEO content blueprint with competitor insights, user intent analysis, gap identification, and optimized page outline to maximize conversions.",https://drive.google.com/file/d/1bWwLOjPcLhuW70DN_Hirk3KTPW4lj_L5/view?usp=sharing
SEO Blog Generator with GPT-4o & Telegram,"Automates SEO blog post creation using OpenAI GPT-4o, integrated with Perplexity AI for research and Telegram for notifications. It generates blog drafts, SEO-friendly titles, slugs, metas, and merges content for streamlined content marketing workflows.",https://drive.google.com/file/d/1BaMoOHh-o_Eag22uulwsYvDLXfVmu5xS/view?usp=sharing
AI-Powered WooCommerce Product Import & SEO,"This n8n workflow automates WooCommerce product creation from Google Sheets, leveraging OpenRouter AI to generate SEO-optimized meta titles and descriptions per product. It updates WooCommerce via API and notifies progress via Telegram.",https://drive.google.com/file/d/1bFWFOJfkFPsqJ5GSfqq9hSPHwe2hcU7x/view?usp=sharing
WordPress SEO Content Automation with DeepSeek & DALL-E,"Automates blog content creation for WordPress using DeepSeek R1 AI for SEO-friendly articles, OpenAI DALL-E 3 for cover images, and Google Sheets for idea input. Integrates WordPress API to publish drafts and update editorial plans seamlessly.",https://drive.google.com/file/d/1O-SsDT9ElafXPbHF672i8u8efYsNRjbs/view?usp=sharing
AI SEO Keyword Research Automation,"Automates SEO keyword research using OpenAI GPT for topic expansion and competitor analysis, integrates DataForSEO API for keyword metrics, and manages workflow with NocoDB and Slack notifications. Generates actionable SEO strategies and content briefs for targeted content creation.",https://drive.google.com/file/d/1suSzGw12tqYZ5NysTRti-eaRRoFpJx5Y/view?usp=sharing
WordPress Automated SEO Content & Image Creator,"Automates SEO-friendly WordPress blog posts creation using Google Sheets for ideas, DeepSeek AI for article and title generation, OpenAI DALL-E 3 for cover images, and WordPress API for publishing and media uploading. Ideal for blog content managers.",https://drive.google.com/file/d/1ZVMJlVSZ7JmDJLiCoPA4veWMU9OA31pZ/view?usp=sharing
Telegram Voice/Text to SEO Social Content AI,"Automates Telegram incoming messages (voice or text), transcribes voice via OpenAI Whisper, researches topics with SerpAPI, generates SEO-optimized social media posts and photorealistic image prompts, then creates images via HuggingFace Stable Diffusion integration.",https://drive.google.com/file/d/1eyKK21rWuaPz2KRMw311i_elfqqs_A13/view?usp=sharing
SEO-Optimized WordPress Blog Generator,"Automates SEO-optimized blog post creation for WordPress using Perplexity.ai for research, OpenAI GPT-4 mini for writing and HTML generation, WordPress API for publishing, and Telegram for success notifications. Ideal for content marketers and bloggers.",https://drive.google.com/file/d/1IBduyESoRAlw82Vl7eHjDSsNXFpITftW/view?usp=sharing
SEO Keyword Generator Webhook,"An n8n workflow that generates SEO keywords using Google Autocomplete API, processes XML response, aggregates and formats keyword suggestions into a clean array. Utilizes HTTP Request, XML parsing, and webhook nodes for dynamic keyword research automation.",https://drive.google.com/file/d/1fc9cSIxH6fFGtZLABzhkjK1gUtlkQilg/view?usp=sharing
Airtable SEO Meta Tag Auto-Fill,"Automates filling missing SEO title tags and meta descriptions in Airtable by fetching URLs, scraping their HTML title and meta description using Airtable API and HTTP Request node in n8n. Updates Airtable records, streamlining SEO data management.",https://drive.google.com/file/d/1ihI1T3S2F1fW5-5t_iYONX6meWjS_uDJ/view?usp=sharing
Google Ads SEO Keyword Volume Fetcher,"An n8n workflow using Google Ads API to fetch SEO keyword monthly search volumes, historical trends, difficulty scores, and competition metrics. Ideal for keyword research automation with up to 20 keywords input and customizable database integration.",https://drive.google.com/file/d/1B7fj4au0yn7KzqfsJMYOs1BZRN9OY9TO/view?usp=sharing
WooCommerce Rank Math SEO Updater,"Automates updating Rank Math SEO metadata on WooCommerce products via WordPress REST API. Utilizes n8n workflow with HTTP Request node and WordPress API credentials to set SEO title, description, and canonical URL, improving product SEO efficiently.",https://drive.google.com/file/d/1ohQp1nvoHLufqJIGiS5mxHJRxX9EbAfk/view?usp=sharing
Umami Analytics SEO AI Report Generator,"An n8n workflow that connects Umami analytics API with Openrouter AI and Baserow to automate SEO data analysis. It fetches weekly website stats, sends them to an AI model for SEO insights and improvement suggestions, then saves the summarized reports in Baserow for easy management.",https://drive.google.com/file/d/1aHC3eo8YlOaq7HywboYSVhx6W58csNOe/view?usp=sharing
On-Page SEO Audit Automation,"Automates on-page SEO audits by scraping a landing page URL and using OpenAI's GPT-4o-mini model to generate detailed technical and content SEO audits. Outputs a structured audit report and emails it via Gmail. Built with n8n, HTTP Request, Langchain, OpenAI, and Gmail API.",https://drive.google.com/file/d/1w9lreFI8JYCNA4KlRmdsWe3DEoQ5fKKT/view?usp=sharing
Weekly SEO Report Email Automation,"An n8n workflow that automates weekly retrieval of SEO data from Google Search Console via its API, generates a summarized report of top search queries, and emails it using Gmail. Scheduled every Monday at 7AM for streamlined SEO performance monitoring.",https://drive.google.com/file/d/16VHBKZM1ZRrXBkGp_9Pdju8EePo7ATTm/view?usp=sharing
SERPBear SEO Analytics with AI Insights,"Automates fetching SEO keyword rankings from SERPBear API, analyzes trends and performance with AI via OpenRouter, and saves actionable insights to Baserow database. Utilizes n8n for scheduling, HTTP requests, code processing, and cloud storage integration.",https://drive.google.com/file/d/1-oZlywu6BaxzeqMZr6U5erG8_bvZk3Td/view?usp=sharing
AI-Based SEO Seed Keyword Generator,"Generates 15-20 targeted SEO seed keywords based on an Ideal Customer Profile using AI (Anthropic Claude 3.5). Utilizes n8n workflow nodes, Langchain AI agent, and requires user-defined ICP data and AI/database connections to automate SEO focus keyword creation.",https://drive.google.com/file/d/1QpD4WSJ6vVSfhhbGa-CsQDxwFSFXUAaK/view?usp=sharing
AI-Driven SEO Seed Keyword Generator,"An n8n workflow that uses AI (Anthropic Claude model) and Langchain to generate 15-20 SEO seed keywords based on an Ideal Customer Profile (ICP). It aggregates ICP data, prompts the AI agent, and outputs keywords for SEO strategies. Requires connection to AI API and database.",https://drive.google.com/file/d/1aNJ0yWyQPFsY9YdnJdUyL2JUNJBHOMb9/view?usp=sharing
Google Analytics SEO Data Analysis,"Automates weekly Google Analytics data retrieval using GA4 API, compares current and past week SEO metrics, queries an AI model via Openrouter for SEO insights, and saves results in Baserow. Integrates Google Analytics, Openrouter AI, and Baserow within n8n.",https://drive.google.com/file/d/1RuhGGrbH-13poV0oi3BEUfh7xHlceESG/view?usp=sharing
Google Analytics SEO Insights Workflow,"Automates weekly Google Analytics data retrieval and comparison using GA4 API, processes page engagement, search console metrics, and country views. Uses Openrouter AI (meta-llama model) for SEO analysis and stores results in Baserow database.",https://drive.google.com/file/d/1dh6fsVVtQSsdNSOyES7wg-_ydyJGlKyF/view?usp=sharing
SERPBear SEO Rank Analysis & Storage,"Automates SEO keyword rank monitoring using SERPBear API. Processes ranking data with JavaScript, sends it to Meta-LLama AI for expert analysis, and stores insights in Baserow database. Utilizes n8n for scheduled triggers and API integrations, enabling easy SEO performance tracking.",https://drive.google.com/file/d/1XUist9vwHDmkfNpygtGwxFyw4WPetIe-/view?usp=sharing
Umami Analytics SEO Insights Automation,"Automates fetching website traffic stats from Umami analytics API, uses Openrouter AI to generate SEO summaries & improvement suggestions, and stores results in Baserow database. Integrates Umami, Openrouter AI, and Baserow in n8n for weekly reporting and analysis.",https://drive.google.com/file/d/1Qn_EJ6zdz-OfCYqgQ7pUMDRL3tShPhs4/view?usp=sharing
AI SEO Meta-Tag Generator,"Watches a WordPress site for new posts without meta descriptions. It reads the post content, generates SEO-optimized tags via OpenAI, and updates the post.",https://drive.google.com/file/d/1WQY9ltA11EGwgaj2Cf4qRi7eLrUXCPyA/view?usp=sharing
