Name,Description,Link
,,
Shopify Order Automation Workflow,"Automates Shopify order processing integrating Zoho CRM, Trello, Gmail, Mailchimp, and Harvest. It updates CRM contacts, creates tasks, sends conditional emails, tags customers, and generates invoices to streamline order management.",https://drive.google.com/file/d/1bOanaHiFL9Ns51aT2tuiJpR5KEPq_Bmq/view?usp=sharing
Shopify Fulfillment to Onfleet Task Automation,Automates task creation in Onfleet upon new Shopify fulfillment via Shopify Trigger node and Onfleet API. Seamlessly integrates Shopify and Onfleet for streamlined delivery task management in n8n workflow.,https://drive.google.com/file/d/1iByvhSUFqKJHnYFuIMDPXz9ckiT3Vw75/view?usp=sharing
Shopify to Google Sheets Product Sync,"Automates syncing Shopify product data (title, tags, description, price) to Google Sheets using Shopify GraphQL API and Google Sheets API. Includes pagination, cursor tracking, daily schedule, and incremental updates for efficient product management.",https://drive.google.com/file/d/1-s8bPk37epygF49eEbSg-AtKSz-B4Qxk/view?usp=sharing
Weekly Shopify Sales Report Automation,"Automates weekly extraction of Shopify orders, calculates total orders and revenue, records data in Google Sheets, and posts a summary to a Slack channel. Uses Shopify API, Google Sheets API via OAuth2, Slack API, and n8n Cron trigger.",https://drive.google.com/file/d/1Co9gI2eoSWMW8DNKkEEx151F1Z66d91k/view?usp=sharing
Sync Shopify Customers to Zendesk Contacts,"Automates syncing updated customer data from Shopify to Zendesk by matching email addresses, creating new Zendesk users or updating existing ones including phone numbers. Uses Shopify webhook triggers and Zendesk API integration in n8n workflow.",https://drive.google.com/file/d/16iFTv7K_9MKw8pMVFNHyDzZXGTYvIEyf/view?usp=sharing
Shopify to Zendesk Order Ticket Sync,"Automates creation and tracking of Zendesk support tickets for updated Shopify orders using Shopify webhook and Zendesk API. Checks existing tickets by order ID to avoid duplicates, creating new tickets for new orders to streamline customer support workflows.",https://drive.google.com/file/d/1Dp19uzGdHh-S6mtEHp83iADw0dkBzY7X/view?usp=sharing
Shopify to Mautic New Customer Sync,"Automates syncing new Shopify customers to Mautic as contacts using Shopify webhook and Mautic API integration in n8n. Ensures first name, last name, and email transfer seamlessly for marketing automation.",https://drive.google.com/file/d/13ILs5cvKu3A4lpdo38pT5bHEa9zUMPti/view?usp=sharing
Shopify Orders to Google Sheets Sync,"Automates retrieving Shopify store orders using Shopify API, handles pagination with page_info, and appends/upserts order data (id, note, email, processed_at) into Google Sheets via Google Sheets API. Includes scheduling and manual triggers.",https://drive.google.com/file/d/1AFlTN-4tvFCWRbt5s8PFh1BqPd7aXxen/view?usp=sharing
Shopify Automated Fulfillment Workflow,"An n8n workflow automating Shopify order fulfillment by fetching unfulfilled orders, filtering those older than 24 hours, retrieving fulfillment orders via Shopify API, and marking them fulfilled with customer notification. Uses Shopify REST API and n8n core nodes.",https://drive.google.com/file/d/1l_nyen9uvxs1nqJgKe3iJDV77e9EbRd0/view?usp=sharing
Shopify to Odoo Product Sync,"Automates syncing of new Shopify products to Odoo ERP by detecting new product creation events via Shopify API webhook and updating/creating matching products in Odoo using its API. Built with n8n using Shopify Trigger, Odoo nodes, and custom JS code.",https://drive.google.com/file/d/1Vc-0btFteD7j5GkNd7RfvhZKiZkWb9AC/view?usp=sharing
Shopify to HubSpot Order Deal Sync,"Automates syncing of Shopify order updates with HubSpot CRM by creating/updating contacts and deals using Shopify API, HubSpot API and OAuth2. Ensures orders in Shopify reflect as deals in HubSpot, streamlining ecommerce sales workflows.",https://drive.google.com/file/d/1bu9_Dpi7bsDPv8rRZKYLABNYwK-onVUj/view?usp=sharing
Shopify Orders UTM Data to Baserow,"Automates daily extraction of Shopify orders with UTM parameters using Shopify GraphQL API. Transforms and filters data, then stores enriched order details in Baserow database. Utilizes n8n integration workflows with Shopify API and Baserow API for marketing attribution tracking.",https://drive.google.com/file/d/1jTextNNs8n5T0pt7e7y8QCd1Si5i7bD6/view?usp=sharing
Shopify to Odoo Customer Sync,Automates syncing of new Shopify customers to Odoo CRM contacts using Shopify webhook trigger and Odoo API integration for contact creation and deduplication.,https://drive.google.com/file/d/1Sc6SNxWCDVJk-GNH9c1vb9G-9HUyZLBO/view?usp=sharing
Shopify Inventory Alert to Discord,"Automates Shopify inventory monitoring via webhooks and GraphQL API. Sends low stock or out-of-stock alerts with product info and images to Discord channels using Discord Bot API, enabling timely inventory management.",https://drive.google.com/file/d/13ZoJy9w7ucwLb6bbPatllLKSmrdeOGKk/view?usp=sharing
