Name,Description,Link
,,
Automated Social Media Content Publisher,"An n8n workflow utilizing OpenAI GPT-4 and LangChain that automates content creation and publishing across Twitter (X), Instagram, Facebook, LinkedIn, Threads, and YouTube Shorts. It dynamically composes prompts and schemas from Google Docs, generates contextual posts with AI, creates matching images using pollinations.ai, and publishes or archives content with approvals and notifications.",https://drive.google.com/file/d/11VQSI4eUyaiN-ypIG0X8QFxU9Ov1xSkZ/view?usp=sharing
Automated Social Media Content Publisher & Prompt Composer,"An n8n workflow automating content creation and publishing across TikTok (YouTube Shorts), Instagram, Facebook, Twitter (X), LinkedIn, and Threads using OpenAI GPT-4o-mini and Langchain for AI content generation, Pollinations.ai for image creation, imgbb API for image hosting, Google Docs for prompts/schema storage, and platform APIs for auto-posting. It supports human approval via Gmail and structures posts per platform specs.",https://drive.google.com/file/d/1JZEGNwbwyFEvpV1KGO6hUmdTuGhQFL1x/view?usp=sharing
Notion-Triggered AI SEO Content Publisher,"Automates creation and publishing of SEO-optimized blog posts by detecting Notion database updates. Integrates Notion API, Langchain AI, WordPress API, Gmail, and DeepSeek AI to write, publish, notify, and log content seamlessly.",https://drive.google.com/file/d/1hJSfWAXHPzpn1QJKShbu8czAZq0OGKoT/view?usp=sharing
WordPress AI Content Creator with Multi-Level Rewrites,"Automates creating WordPress blog drafts using OpenAI GPT models for structured content generation and rewriting at Grade 2, 5, and 9 reading levels. Integrates Pollinations.ai for featured image creation, Google Drive for backups, and Telegram for notifications.",https://drive.google.com/file/d/1O201KRSIUhcRtYeQ7N-ob7R_puHVeHy6/view?usp=sharing
AI-Powered Content Generator & Organizer,"Automates content creation using OpenAI GPT-4O-MINI API, organizing outputs in Google Drive and Google Sheets. Collects user inputs via web form, generates and formats article outlines and sections, uploads docs to Drive, and tracks with Sheets.",https://drive.google.com/file/d/1tFdwbx4wASA27YB0KIQ3llGNd3o3dqXn/view?usp=sharing
Automated Website Content SEO Audit,"This n8n workflow generates a detailed SEO content audit report for up to 1000 pages of any website using DataForSEO On-Page API and Google Search Console API. It analyzes technical SEO, content quality, metadata, linking, and performance, delivering a branded HTML report with key recommendations.",https://drive.google.com/file/d/1HcMzBHWAlVQrsA8japnpSlZ0djczmQbH/view?usp=sharing
WordPress RAG & GenAI Content Chatbot,"An n8n workflow integrating WordPress API, OpenAI embeddings (text-embedding-3-small), GPT-4o-mini chat model, Supabase vector DB, and Postgres for chat memory. It automates content embedding, updates, and provides a semantic search chatbot using website content.",https://drive.google.com/file/d/1_L6tgZQVrLQ_fxXjiOpFDKwAK4_6vHcf/view?usp=sharing
AI-Powered Blog Content Creator,"Automates blog writing by combining the Tavily search API for real-time web data with Anthropic's AI language model to craft well-structured, SEO-optimized HTML content with proper citations and a natural tone.",https://drive.google.com/file/d/1ttqkyZFrG7l0nuq1gRZNd0pejZDTmvIa/view?usp=sharing
Auto Instagram Content Creator with AI & Google Sheets,"Automates Instagram post creation by generating unique content concepts, detailed AI image prompts, and captions using Google Gemini LLM, with image generation on Replicate Flux, managing ideas from Google Sheets and publishing through Instagram Graph API.",https://drive.google.com/file/d/1WnGOO2NkDckvX91R7Ei68duktebWTG7I/view?usp=sharing
Hacker News AI Video Content Creator,"Automates creating summary videos from Hacker News articles using OpenAI for analysis, Leonardo.ai for image generation, RunwayML and Creatomate for video creation, and uploads results to cloud storages and social platforms.",https://drive.google.com/file/d/1gW_yLTJrzcgjQNQjVU6z-TLyKT34IJuj/view?usp=sharing
AI Brand Voice Content Generator,"Automates creation of on-brand blog articles by analyzing existing content from n8n.io blog. Uses n8n nodes with OpenAI API for LLM analysis, HTML extraction, Markdown conversion, and Wordpress draft publishing. Captures article style, structure, and voice.",https://drive.google.com/file/d/1jJReWK39nV8j1QKqzhSigblNl4eOaWMg/view?usp=sharing
WordPress SEO Content Automation with DeepSeek & DALL-E,"Automates blog content creation for WordPress using DeepSeek R1 AI for SEO-friendly articles, OpenAI DALL-E 3 for cover images, and Google Sheets for idea input. Integrates WordPress API to publish drafts and update editorial plans seamlessly.",https://drive.google.com/file/d/1O-SsDT9ElafXPbHF672i8u8efYsNRjbs/view?usp=sharing
Pinterest AI Analysis & Content Suggestion Automation,"Automates Pinterest pin data collection via Pinterest API, stores data in Airtable, and leverages OpenAI's GPT-4o-mini AI models for trend analysis and content suggestions. Sends summarized marketing insights via Gmail, aiding content calendar planning and audience targeting.",https://drive.google.com/file/d/1h7E6EpCl3uYaEkxcJsumTcSzb_X3L8r8/view?usp=sharing
Automated 9:16 AI Image & Video Content Creator,"This n8n workflow automates creating 9:16 aspect ratio short-form video scripts and AI-generated images using Airtable for content management, OpenAI GPT-4o-mini for script generation, and Leonardo.ai for prompt improvement and image generation. Perfect for branding and social media content production.",https://drive.google.com/file/d/1AHbz5sSYtMChPaM-9E1MnDCUJc3kEKJn/view?usp=sharing
AI-Driven Instagram Trend Content Creator,"Automates Instagram content creation by scraping top trending posts with RapidAPI, analyzing images with OpenAI GPT-4 Vision, generating unique AI images via Replicate Flux AI, and posting with Facebook Graph API. Sends Telegram notifications on status updates. Ideal for creators leveraging AI for engaging posts.",https://drive.google.com/file/d/1-31QNvfYuRH7syiGuAro6P40SmKq22Dt/view?usp=sharing
AI-Powered Instagram Trend Content Generator,"Automates Instagram content creation by scraping top trending posts via RapidAPI Instagram Scraper, filtering images, analyzing with OpenAI GPT-4 Vision, generating captions, creating images using Replicate Flux AI, and publishing via Facebook Graph API with Telegram notifications.",https://drive.google.com/file/d/1_FKqkVzhMML-kZMydNxaKBQ0Y1mK7a9E/view?usp=sharing
Hacker News AI Video Content Generator,"Automates creating AI-generated video summaries from Hacker News articles using OpenAI for analysis, Leonardo.ai for images, RunwayML and Creatomate for video creation, with uploads to cloud storage and posting on social media platforms.",https://drive.google.com/file/d/1tBJOAU39NAstlFR8DbbD0ir1aHN5EtxX/view?usp=sharing
Gemini AI Video Content Analyzer,"Automate video analysis using Google's Gemini 2.0 API in an n8n workflow. Downloads video from URL, uploads it to Gemini cloud for AI-based detailed visual description generation, useful for marketing, content moderation, accessibility, and cataloging.",https://drive.google.com/file/d/1Wo_LVLAl_BYap-NMTX4aDT0Y1HY6s82K/view?usp=sharing
WordPress Content Chatbot with OpenAI & Supabase,"An n8n workflow integrating WordPress API, OpenAI embeddings & GPT-4o-mini, and Supabase vector DB. It fetches, filters, converts WP posts/pages to markdown, embeddings for search, and enables AI chat with website content using stored vectors and Postgres memory.",https://drive.google.com/file/d/1_QeR5YvuhmKSdH-3yoNfnwUAWvXhz2Ck/view?usp=sharing
WordPress Automated SEO Content & Image Creator,"Automates SEO-friendly WordPress blog posts creation using Google Sheets for ideas, DeepSeek AI for article and title generation, OpenAI DALL-E 3 for cover images, and WordPress API for publishing and media uploading. Ideal for blog content managers.",https://drive.google.com/file/d/1ZVMJlVSZ7JmDJLiCoPA4veWMU9OA31pZ/view?usp=sharing
Telegram Voice/Text to SEO Social Content AI,"Automates Telegram incoming messages (voice or text), transcribes voice via OpenAI Whisper, researches topics with SerpAPI, generates SEO-optimized social media posts and photorealistic image prompts, then creates images via HuggingFace Stable Diffusion integration.",https://drive.google.com/file/d/1eyKK21rWuaPz2KRMw311i_elfqqs_A13/view?usp=sharing
AI Agent for Webpage Content Extraction,"An n8n workflow combining LangChain AI (ReAct agent) and OpenAI GPT-4 to fetch, clean, and convert webpage HTML content to Markdown. It uses HTTP requests, regex for HTML body extraction, and options to simplify or fully preserve content for intelligent web data retrieval and processing.",https://drive.google.com/file/d/1ZuYX5iXKEfloV5GU3QwioUu-fmCm_o5d/view?usp=sharing
Brand Content Extraction & Sentiment Analysis,"Automates brand content extraction from websites via Bright Data Web Unlocker API, uses Google Gemini AI for textual data extraction, summarization, and structured sentiment analysis, and sends results through webhooks and files.",https://drive.google.com/file/d/1fiQHZ9g4nqFvynV7bIr_zrzOeI5LU631/view?usp=sharing
YouTube Trending Content Insight Generator,"An AI-powered n8n workflow leveraging OpenAI and YouTube APIs to help creators find and analyze trending YouTube videos by niche. It uses Langchain agent, YouTube Data API, and OpenAI language models to provide insightful, data-driven content trends from recent videos.",https://drive.google.com/file/d/1nBPiu9gB8oooi22SQOZuPnQEn5-e27qk/view?usp=sharing
Google Drive File Search & Content Extractor,"An n8n workflow acting as a Google Drive MCP server to search, download, and extract content from files (PDF, CSV, images, audio, video) using Google Drive API and OpenAI. Enables AI-rich file understanding and text extraction for MCP clients.",https://drive.google.com/file/d/1D7anm0hclLdAWmGd0tAUFsSk1VB53M9B/view?usp=sharing
Pinterest Data Analysis & AI Content Suggestions,"Automates weekly Pinterest data retrieval via Pinterest API, stores it in Airtable, and uses OpenAI GPT-4o-mini for AI-powered trend analysis and pin content suggestions. Summarized insights are emailed to marketing managers to optimize content calendars.",https://drive.google.com/file/d/1t1hPN0FUVMk_aMfkRZzt1RBVLxHZMjoe/view?usp=sharing
LinkedIn Likes to Airtable Content Hub,"Automates extraction of insightful LinkedIn post likes from the last 7 days via RapidAPI, filters and formats them into content ideas, then stores these ideas in Airtable for content planning. Uses LinkedIn API (via RapidAPI) and Airtable integration with n8n automation.",https://drive.google.com/file/d/1w93verbZJzEBATcix6ShLDKXIN_iJkXu/view?usp=sharing
Notion Content Blocks Markdown Sync,"Automates syncing Notion database updates by converting Notion blocks to Markdown and back. Uses Notion API, n8n Notion Trigger, HTTP Request, and custom JS code to preserve rich text formatting including headings, lists, and annotations for seamless content manipulation.",https://drive.google.com/file/d/1PZ7k7gx9oVUBMnS84-VfJmD0dZOnO46G/view?usp=sharing
LangChain Q&A with Workflow Content Retriever,"An n8n workflow using LangChain integration with OpenAI (GPT-4o-mini) to perform question-answering on dynamically retrieved workflow data. It uses a manual trigger, a subworkflow retriever, and a set node to input queries, enabling smart Q&A on saved workflow content.",https://drive.google.com/file/d/1IZiPBLWBzgmJsGaKqmP_TjeQcMw_Picq/view?usp=sharing
Contentful Data Fetcher,"An n8n workflow that fetches all entries from Contentful CMS using its API, triggered manually. Useful for automating content retrieval from Contentful for various applications without coding.",https://drive.google.com/file/d/1u8L7GBb_BHYlit6NpU4NHgxX9JWz_z-h/view?usp=sharing
Web Page Content Scraper via FireCrawl API,"This n8n workflow fetches webpage content in markdown format using FireCrawl API. It accepts a URL as input, triggers an HTTP POST request to FireCrawl, and extracts markdown content for reuse. Ideal for automating web data extraction leveraging n8n and FireCrawl API.",https://drive.google.com/file/d/1MkyCBvvJshX7_btN3aaO45UOg7SRhQL7/view?usp=sharing
