Name,Description,Link
,,
"AI-Powered Telegram Assistant with Email, Calendar & Tasks","An AI assistant on Telegram integrating OpenAI GPT-4, Google Calendar, Gmail, and Baserow for task and contact management. It handles voice/text inputs, transcribes voice notes, fetches and summarizes emails and calendar events, and manages tasks, providing seamless personal assistance.",https://drive.google.com/file/d/16m9aJ6uydZ49hVnqlMSAn0PNk7VCwXIE/view?usp=sharing
AI Stock Analysis Bot via Telegram,"An n8n workflow that enables real-time stock technical analysis through Telegram. It uses Telegram APIs for message interaction, OpenAI GPT-4 for chat and audio transcription, Chart-img API for generating stock charts, Airtable for saving tickers, plus LangChain tools to orchestrate AI agent processes and chat memory.",https://drive.google.com/file/d/1yTNLUgZwMVmM_1NxqNKXlRf04UFkP4CI/view?usp=sharing
Telegram Receipt Expense Logger,"Automates expense tracking by parsing receipt images sent via Telegram using Mindee API, logs details to Google Sheets, confirms via Telegram, and sends SMS notification via Twilio. Streamlines receipt management and bookkeeping.",https://drive.google.com/file/d/1FU56GRjMcOE9HXocDzovVaxMfD6i223G/view?usp=sharing
Daily AI News Summary & Translation to Telegram,"An automated workflow fetching daily AI news from NewsAPI and GNews, summarizing and translating top articles into Traditional Chinese using GPT-4, and delivering the digest via Telegram bot. Integrates NewsAPI, GNews, OpenAI GPT-4, and Telegram API for seamless news updates.",https://drive.google.com/file/d/1E3c8It4aE0TlT2XqtpqzYxtaiYV-FVTU/view?usp=sharing
Crypto News Sentiment Telegram Bot,"Telegram bot leveraging OpenAI GPT-4o, integrated with multiple crypto news RSS feeds. It analyzes user queries, fetches relevant articles, summarizes news and market sentiment for cryptocurrencies or companies, and delivers concise AI-generated insights via Telegram messages.",https://drive.google.com/file/d/1bn5UIY-cthWSceCRHLgDb93OYZ6cfHFv/view?usp=sharing
Telegram AI Chat Assistant,"An n8n workflow integrating Telegram and OpenAI's Chat API via Langchain to create a responsive AI assistant that listens to Telegram messages and replies with helpful, emoji-enhanced answers in real-time.",https://drive.google.com/file/d/1uWoQqIM_a-cfAezDdRRl4pepZAEOexvK/view?usp=sharing
Telegram AI Assistant with Baserow Memory,"An AI-powered Telegram assistant integrating OpenAI GPT-4o mini, Baserow databases for long-term memory and notes, Postgres chat memory, with voice, photo processing, and personalized responses. Automates note-taking, memory recall, and multi-modal input handling.",https://drive.google.com/file/d/1pb__FX7TO6j3KQ3lLuz-z43XPr2GjMiO/view?usp=sharing
Telegram AI Study Assistant for Signal Processing,"An n8n workflow integrating Telegram API, OpenAI (including transcription and GPT models), Google Gemini, Airtable, and Langchain tools to build an AI-powered interactive tutor for signal processing students via Telegram, featuring memory, calculator, Wikipedia lookup, and content/email agent tools.",https://drive.google.com/file/d/1mi4XjkjywYybc7ZiPvjeGKgnlQtz9yGb/view?usp=sharing
AI Speech Coach via Telegram,"This n8n workflow integrates Telegram, Google Gemini (PaLM) API, OpenAI Whisper transcription, and LangChain to provide AI-powered speech coaching. It processes text and voice messages, offers feedback, generates refined speeches, and manages conversation memory for iterative improvement—all via Telegram chat.",https://drive.google.com/file/d/1h69SguBURgUfpAU_Z2RYJyL3m7Xw8wRF/view?usp=sharing
