Name,Description,Link
,,
WooCommerce Customer Order Chat Assistant,"An n8n workflow integrating WooCommerce API, DHL tracking, and OpenAI GPT-4 to provide customers with secure, real-time order and shipping info via chat. Features encrypted email handling, order querying, DHL status checks, and AI-powered conversational support.",https://drive.google.com/file/d/11WlvCDQ9cmssEF6K3HxMrwQiHDvHzqEH/view?usp=sharing
AI-Powered WooCommerce Product Import & SEO,"This n8n workflow automates WooCommerce product creation from Google Sheets, leveraging OpenRouter AI to generate SEO-optimized meta titles and descriptions per product. It updates WooCommerce via API and notifies progress via Telegram.",https://drive.google.com/file/d/1bFWFOJfkFPsqJ5GSfqq9hSPHwe2hcU7x/view?usp=sharing
WooCommerce Order Support Chatbot,"An n8n workflow integrating WooCommerce API, DHL tracking, and OpenAI GPT-4 to provide secure, AI-driven customer service chat. Supports encrypted user email, order lookup, shipping status retrieval, and interactive chat embedding for WooCommerce stores.",https://drive.google.com/file/d/1yRqIznkT-bkcGGRioHLw8Mwa3dBeh5To/view?usp=sharing
WooCommerce AI Chatbot for Post-Sales Support,"An AI-powered chatbot workflow integrating WooCommerce, OpenAI, Qdrant vector DB, and Google Drive for secure, verified post-sales support. It automates order and tracking inquiries, FAQ answers, and escalates complex issues via Telegram for a seamless customer service experience.",https://drive.google.com/file/d/1YukghqXfMJFoD77C4PnqJdQL5AONvZel/view?usp=sharing
WooCommerce Product CRUD Workflow,"Automates creating, updating, and retrieving WooCommerce products using n8n's WooCommerce node and API integration. Enables manual execution to add a product, update its stock, and fetch product details seamlessly.",https://drive.google.com/file/d/13JX7dZz3QUx0f8vpopgBpuU9guI5UW-u/view?usp=sharing
WooCommerce to Mattermost Order Alert,"Automates sending a message on Mattermost when a new WooCommerce order is created. Uses WooCommerce API trigger and Mattermost API for real-time order notifications, improving team awareness and response speed for e-commerce operations.",https://drive.google.com/file/d/1Mjjc4hDcK7tmMs9ELWiKbLxU5ErzkKIC/view?usp=sharing
WooCommerce Rank Math SEO Updater,"Automates updating Rank Math SEO metadata on WooCommerce products via WordPress REST API. Utilizes n8n workflow with HTTP Request node and WordPress API credentials to set SEO title, description, and canonical URL, improving product SEO efficiently.",https://drive.google.com/file/d/1ohQp1nvoHLufqJIGiS5mxHJRxX9EbAfk/view?usp=sharing
WooCommerce New Product Alert to Slack,"Automates notifications in Slack for new WooCommerce product creations. Utilizes WooCommerce API webhook trigger to capture new product events and Slack API to send detailed messages including product name, price, sale price, link, and creation date to a specified Slack channel.",https://drive.google.com/file/d/115e3dolDIe-MH_89cX21VUvOOTL-XvI-/view?usp=sharing
WooCommerce New Order Alert to Slack,An n8n workflow that triggers on new WooCommerce orders over $100 and sends detailed notifications to a Slack channel. Integrates WooCommerce webhook API with Slack API to automate real-time order alerts for efficient sales tracking.,https://drive.google.com/file/d/11c4ijbSNM1yuw8suAYqDsVqNYQLw-_kI/view?usp=sharing
WooCommerce Customer Sync to Mautic,"Automates syncing WooCommerce customers to Mautic CRM using WooCommerce webhooks and Mautic API with OAuth2. Checks if customer exists in Mautic, then creates or updates contact. Ideal for seamless marketing integration and CRM updates.",https://drive.google.com/file/d/1RST0_8x__ONeWDRI3MYNgy39VsgwPVd_/view?usp=sharing
WooCommerce New Product Announcement to Twitter & Telegram,"Automates announcing new WooCommerce products on Twitter and Telegram. Uses WooCommerce webhook trigger, Twitter API, and Telegram API to post customized new product messages instantly, enhancing social media marketing and customer engagement.",https://drive.google.com/file/d/1g_9z2Qd3G3nnHSUtV9KSj-DkdpA0gKRM/view?usp=sharing
AI Personal Shopper with RAG & WooCommerce,"An intelligent assistant workflow using OpenAI chat models, Qdrant vector store, and WooCommerce API to handle store inquiries and product search. Integrates Google Drive for document storage and uses RAG for general store info and LangChain for memory and tools.",https://drive.google.com/file/d/1P6W6qd1m4cH7ekPnLQEMDF8WgWkmYCVA/view?usp=sharing
WooCommerce to Telegram Order Alerts,"Automates sending Telegram notifications for WooCommerce orders moved to processing status. Utilizes WooCommerce Webhooks, n8n workflow, JavaScript for message formatting, and Telegram Bot API to instantly alert store owners with detailed order info.",https://drive.google.com/file/d/1PAdnRq--JOJcwau3R9kAn4sEgw1biUuH/view?usp=sharing
eCommerce Contact Form Text Classifier,"Automates classification of contact form messages for eCommerce using n8n, OpenAI GPT-4o-mini for text classification, Google Sheets for data storage, and SMTP for email notifications to respective departments (quotes, orders, etc.).",https://drive.google.com/file/d/1Bgf9YtfkKWOT7I7gHgue0u4G1REkXg3z/view?usp=sharing
AI Personal Shopper with RAG & WooCommerce,"An n8n workflow integrating OpenAI LLM, Qdrant vector database, Google Drive, and WooCommerce to build a personal shopper chatbot. It extracts user intents and product details from chat, queries WooCommerce for products, and uses RAG with store docs for general queries.",https://drive.google.com/file/d/1ypVFywaD4HE9isVF1W8PMzxtKKtFn99b/view?usp=sharing
WooCommerce Refund Alerts to Slack,"Automates notifications for WooCommerce store refund events over $100 by sending detailed alerts to a Slack channel. Utilizes WooCommerce API as the trigger and Slack API to deliver refund info, streamlining refund monitoring for e-commerce teams.",https://drive.google.com/file/d/1Ndi0ATE21Yb31npE8c_KKNc6eHep5sTM/view?usp=sharing
Smart E-commerce Stock Recovery,"Monitors Shopify ""Out of Stock"" products. When stock is refilled, it identifies customers who ""Waitlisted"" in a Google Sheet and sends them a personalized SMS/Email.",https://drive.google.com/file/d/1wi9wg7hYvZylFHrIBo9AxoVTv12gtwks/view?usp=sharing
