Name,Description,Link
,,
Social Media Post Generator & Twitter Poster,"Automates social media post creation by fetching content ideas from Google Sheets, generating posts using OpenAI GPT-4, posting to Twitter via Twitter API, and updating Google Sheets with posting info. Integrates Google Sheets, OpenAI, and Twitter APIs.",https://drive.google.com/file/d/1WV6ohz_cz4VvM1BQKaolxmvcPjgiv-pQ/view?usp=sharing
ConnectWise New Ticket Alerts to Teams,"Automates fetching new tickets from ConnectWise API, filters out previously sent tickets using Redis, groups them by company, and sends alert messages to Microsoft Teams chat. Uses n8n, ConnectWise API, Redis, and Microsoft Teams integration.",https://drive.google.com/file/d/1CRE390xLmmbLLNFvynqqNS23-LDskoRv/view?usp=sharing
SMS Broadcast via Airtable & Twilio,"Automates sending personalized SMS messages using Airtable to store contacts and Twilio API for messaging. Users trigger the workflow manually in n8n, which fetches phone numbers and names from Airtable and sends custom SMS via Twilio, streamlining bulk communication.",https://drive.google.com/file/d/1kBhGYEPNtLbldGVLCApEL-YJHLsXoOyR/view?usp=sharing
Typeform Leads to WhatsApp via Twilio,"Automates sending Typeform survey leads directly to a WhatsApp number using Twilio. Utilizes Typeform webhook trigger, data parsing with n8n Set node, and Twilio API for messaging. Ideal for instant lead notification and follow-up.",https://drive.google.com/file/d/1Pt-uoVS0WWXdOvmyF0KT8SuPilFIf6vo/view?usp=sharing
Twitter Mentions to RocketChat Alert,"Automates monitoring of @n8n_io Twitter mentions using Twitter API, filters new tweets, and posts notifications to RocketChat. Built with n8n nodes: Cron, Twitter, Function, Set, and RocketChat for real-time social media alerts.",https://drive.google.com/file/d/1umuz_gIM5aQM6U6oe0WpLomDYlTAcmw5/view?usp=sharing
Twitter Search to Mattermost Alerts,"Automates Twitter search for 'n8n_io' using Twitter API every minute, filters new tweets, formats data, and sends detailed notifications to Mattermost channels. Utilizes Twitter OAuth1, n8n Cron, Function, Set, and Mattermost API nodes for real-time monitoring and alerting.",https://drive.google.com/file/d/1s2sKOxH3fcScEXI74yetqI18TXdCkyPw/view?usp=sharing
Error Notification via Mattermost & Twilio,"An n8n workflow that triggers on errors, sends detailed error notifications to Mattermost, and then sends an SMS alert via Twilio. Utilizes n8n errorTrigger node, Mattermost API, and Twilio API to provide real-time monitoring and multi-channel alerting.",https://drive.google.com/file/d/1CzKzEMOjsNtWRnAMaV7kPFB0TFwtpYGD/view?usp=sharing
Workflow Failure SMS Alert via Twilio,"This n8n workflow uses an Error Trigger node and Twilio API integration to send an SMS notification when any workflow fails. It helps monitor workflow executions by alerting users immediately via SMS, ensuring quick response to failures.",https://drive.google.com/file/d/1D2jQR-p19akJeosIuxuHPQsODhVPdn94/view?usp=sharing
Twitter Sentiment ETL Pipeline,"Automates daily extraction of #OnThisDay tweets via Twitter API, stores raw tweets in MongoDB, analyzes sentiment using Google Cloud Natural Language API, saves enriched data in PostgreSQL, and sends positive sentiment alerts to Slack. Built with n8n integration platform.",https://drive.google.com/file/d/1R9XULlcC_4ZmUl4HVtRSk4ZisiL5cHEW/view?usp=sharing
WooCommerce New Product Announcement to Twitter & Telegram,"Automates announcing new WooCommerce products on Twitter and Telegram. Uses WooCommerce webhook trigger, Twitter API, and Telegram API to post customized new product messages instantly, enhancing social media marketing and customer engagement.",https://drive.google.com/file/d/1g_9z2Qd3G3nnHSUtV9KSj-DkdpA0gKRM/view?usp=sharing
Twitter Mention Alert to Slack,"Automates monitoring Twitter for mentions of a specified company every 10 minutes using Twitter API; formats tweet info and posts alerts to Slack channel. Utilizes n8n, Twitter OAuth1 API, Slack API.",https://drive.google.com/file/d/1soMGEPXuUuOuROw4T1rFEYWjBshTohIe/view?usp=sharing
Twitter Sentiment Filter & Strapi Sync,"Automates fetching recent English tweets about Strapi or n8n.io every 30 mins, filters out retweets/old tweets, analyzes sentiment using Google Cloud Natural Language API, and stores only positive sentiment tweets and form submissions into a Strapi CMS collection.",https://drive.google.com/file/d/1I0Is_3zXTU9FOk7Vbfoe8uUDDVPEqCnS/view?usp=sharing
Twitter New Followers Banner Updater,"Automates fetching latest Twitter followers, processes their profile images by resizing and cropping into circular icons, composites them onto a customizable banner template, and updates your Twitter profile banner using Twitter API and n8n image editing nodes.",https://drive.google.com/file/d/1F5Y7TgyBSnFKRWEsf_AG9o2yKnybj2oj/view?usp=sharing
Twilio SMS AI Chat Buffering Bot,"An n8n workflow integrating Twilio, Redis, and OpenAI to buffer rapid SMS messages into a single AI-generated reply. Uses Redis for message stacking, LangChain memory nodes for chat history, and OpenAI's conversational agent for summarizing user inputs, improving chat flow and response quality.",https://drive.google.com/file/d/1jnXXzyTaaKy0zRI8YHE3zkIR154G4w1s/view?usp=sharing
Twitter Sentiment ETL Pipeline,"Automates fetching #OnThisDay tweets via Twitter API, storing texts in MongoDB, analyzing sentiment with Google Cloud Natural Language, saving results in Postgres, and alerting via Slack if sentiment score is high. Built with n8n for daily ETL workflow automation.",https://drive.google.com/file/d/1jry0ZbavERqTPRsgkC3zo1DHo8lGaCVO/view?usp=sharing
Twitter Thread Generator with AI Agent,"This n8n workflow uses Langchain's chat trigger, OpenAI GPT-4o model, and Twitter API to create engaging Twitter threads. It employs a conversational AI agent that drafts informative, friendly tweets and replies, forming coherent, natural threads with memory context for flow.",https://drive.google.com/file/d/1NEhCL0oJEZEjHaRkxOoO134ORl3rxgOJ/view?usp=sharing
Twilio AI Chat with Redis Buffer,"Automates SMS chat replies using Twilio for messages, Redis to buffer incoming texts, and OpenAI's Chat Model via LangChain agent to generate a single aggregated AI response after a 5-second pause, improving conversational flow for bursty user input.",https://drive.google.com/file/d/1Jr6TlYg3KdJoqNpVFvehWtrM3cbR9zXX/view?usp=sharing
SMS Course Assistant with Twilio & Airtable,"An automated SMS chatbot workflow using Twilio for SMS triggers, OpenAI (GPT-4) for natural language understanding, and Airtable as a course database. It fetches and answers course queries, logs interactions, and provides up-to-date academic info for Northvale Institute students.",https://drive.google.com/file/d/1iARmRicHcQkl-jx4eB41zbbsxBnoVgGN/view?usp=sharing
Twitter New Tweets to Airtable,Automates fetching the latest tweets about 'verstappen' using Twitter API and appends only new tweets to Airtable database. Uses n8n with Twitter and Airtable nodes to filter out duplicates and update records seamlessly.,https://drive.google.com/file/d/1JWtNYHHydB4JdT5qPXWZaJ8iuNVFA7uN/view?usp=sharing
Twitter Followers Banner Updater,"Automates updating Twitter profile banner with latest followers' avatars. Uses Twitter API v2 to fetch followers, downloads and edits avatars and a background image, composites them, and updates banner via Twitter API v1.1 with OAuth1.0 authentication.",https://drive.google.com/file/d/150DmldGcDUlR5wSlCHYG5bDbd6K4ninR/view?usp=sharing
Automate Twist Channel Creation & Messaging,"n8n workflow using Twist API to create and update channels, add users, and send custom messages with action buttons linking to docs. Integrates Twist OAuth2 for secure access to workspace, streamlining team communications and onboarding.",https://drive.google.com/file/d/1Fzl0LItHa7nRmy1J53i2RIzZi9ua584i/view?usp=sharing
Sensor Alert System with PostgreSQL and Twilio,"Automates monitoring of sensor data in PostgreSQL, sending SMS alerts via Twilio for readings above a threshold. Uses n8n Cron to schedule, queries the DB, sends notifications, and updates alert status to avoid duplicates.",https://drive.google.com/file/d/1PUTmvOAaQeuI6gHmZHori7GdSgHOB21Y/view?usp=sharing
