Name,Description,Link
,,
Zendesk Ticket Creator,An n8n workflow to create Zendesk support tickets manually. Uses n8n's Manual Trigger node to initiate and the Zendesk node to create tickets via Zendesk API. Ideal for quick ticket generation in customer service automation.,https://drive.google.com/file/d/1j6BP6kJcDIuETngqFRg-7SnRgEtIQr8J/view?usp=sharing
Sync Shopify Customers to Zendesk Contacts,"Automates syncing updated customer data from Shopify to Zendesk by matching email addresses, creating new Zendesk users or updating existing ones including phone numbers. Uses Shopify webhook triggers and Zendesk API integration in n8n workflow.",https://drive.google.com/file/d/16iFTv7K_9MKw8pMVFNHyDzZXGTYvIEyf/view?usp=sharing
Shopify to Zendesk Order Ticket Sync,"Automates creation and tracking of Zendesk support tickets for updated Shopify orders using Shopify webhook and Zendesk API. Checks existing tickets by order ID to avoid duplicates, creating new tickets for new orders to streamline customer support workflows.",https://drive.google.com/file/d/1Dp19uzGdHh-S6mtEHp83iADw0dkBzY7X/view?usp=sharing
Zendesk to Slack Ticket Sync,"Automates syncing of new Zendesk tickets to Slack threads using Zendesk API and Slack OAuth2. Creates or updates Slack threads with ticket info, keeping support communication organized across platforms.",https://drive.google.com/file/d/19PP715_kqb3VH2RlHLJaVknBukj1QaoV/view?usp=sharing
Zendesk to Asana Task Sync Automation,"Automates creation and updating of Asana tasks from new Zendesk tickets using Zendesk and Asana APIs via n8n workflow. It checks for existing tasks and appends comments or creates new tasks accordingly, streamlining ticket-to-task management.",https://drive.google.com/file/d/1BJMSbV3cOxHsyvkSHCaKqPN27uOp1OdX/view?usp=sharing
Zendesk to GitHub Issue Sync,"Automates syncing Zendesk tickets with GitHub issues by creating issues or comments when new tickets are received. Uses Zendesk API, GitHub API, and n8n workflows for seamless ticket and issue management.",https://drive.google.com/file/d/1fdtGxto6HJgWX4OeebZbVUUh7IvE7BXm/view?usp=sharing
Zendesk to Jira Issue Synchronizer,Automates synchronization between Zendesk tickets and Jira issues using n8n. It creates Jira issues for new Zendesk tickets or adds comments if an issue exists. Integrates Zendesk API and Jira Cloud API to keep data consistent.,https://drive.google.com/file/d/1HYttCOz1NpdrFyjj-ru3dKjLaXeY9IgL/view?usp=sharing
Sync HubSpot Companies with Zendesk Organizations,Automates syncing of recently modified HubSpot companies to Zendesk organizations every 5 mins using HubSpot and Zendesk APIs. Checks if organization exists to update or create. Uses n8n with HubSpot App Token and Zendesk API credentials.,https://drive.google.com/file/d/1-0ZEgJoXSPyQ6GUCo5JUr0QtbtH9slMD/view?usp=sharing
Zendesk-HubSpot Ticket Sync Automation,"Automates synchronization of support tickets and contacts between Zendesk and HubSpot using their APIs. Periodically updates or creates tickets in HubSpot from Zendesk tickets, manages contact data, and keeps external IDs in sync timestamps to enable seamless cross-platform support management.",https://drive.google.com/file/d/1dDaeoKZH9kOxGxQAb_G4-jw6qG2vnTRt/view?usp=sharing
Zendesk Unassigned Tickets to Slack,"Automates sending unassigned Zendesk tickets with status and subject to a Slack channel using Zendesk API, Slack API, and n8n workflow automation. Runs daily at 16:30 to keep teams informed about pending support tickets.",https://drive.google.com/file/d/1GeGNIigLFkqcG0tO5k1-HacwFBedtbe_/view?usp=sharing
Zendesk to Pipedrive Ticket Assignee Sync,"Automates updating Zendesk tickets by assigning them to the Pipedrive contact owner. Uses Zendesk API to fetch tickets and requester data, Pipedrive API for contact and owner info, and merges agent data to reassign tickets every 5 minutes.",https://drive.google.com/file/d/1_-eEcxrskIuQ1rWabMgYD-mA1R57GULS/view?usp=sharing
Zendesk-Pipedrive Ticket Comment Sync,"Automates syncing Zendesk ticket comments as Pipedrive notes by checking ticket updates daily at 09:00. Uses Zendesk API for ticket and comment retrieval, Pipedrive API for person search and note creation, handling emails as sync keys.",https://drive.google.com/file/d/1i1L9hG30H3K1GUlq91on4uWhS1eo6j2j/view?usp=sharing
Zendesk Support Updates Listener,Workflow listens for real-time support ticket updates via Zendesk API using n8n Zendesk Trigger node to automate support workflows and notifications. It captures events as they happen to streamline customer support processes.,https://drive.google.com/file/d/1d5mrkCzt9G-A2GoGM8Xi0BStlFsAK7C2/view?usp=sharing
