Name,Description,Link
,,
Automated GitHub PR Code Review,"n8n workflow automates GitHub pull request code review using OpenAI GPT-4 for inline comments. It triggers on PR events, fetches code diffs, creates AI review prompts, posts comments, optionally adds labels, and references Google Sheets for best practices.",https://drive.google.com/file/d/1b-JtTDVhlgpeNCUsLNaakZA8yZhOwDND/view?usp=sharing
n8n Workflow Backup to GitHub,"Automates backing up all n8n workflows to a GitHub repo daily. Uses n8n API and GitHub API to export workflows as JSON files organized in YYYY/MM folders. Includes Slack notifications for start, completion, and failures, ensuring reliable versioned backup.",https://drive.google.com/file/d/1oiFrTL-S2qC7fEEDeiPoue0-0UuQucLa/view?usp=sharing
AI-powered GitHub Trending Auto Social Poster,"Automates curation of trending GitHub projects from Hacker News, fetching project details, generating tailored Twitter and LinkedIn posts using OpenAI GPT-4, and posting via X (Twitter) and LinkedIn APIs. Includes Airtable tracking and Telegram notifications.",https://drive.google.com/file/d/1HIaZopAjvnBpGQY3Tyxd4chViPgfkbf7/view?usp=sharing
n8n Workflow Backup to GitHub,"Automates backup of all n8n workflows to a GitHub repository using GitHub API, HTTP requests, and internal subworkflows. It compares existing backup files with current workflows, creates or updates JSON files named by workflow ID, supporting version control and easy restore.",https://drive.google.com/file/d/1BAe6kLXbg6qfOSh3DEB-Bj1ds4oxogom/view?usp=sharing
n8n GitHub Workflow Backup Automation,"Automates daily backup of n8n workflows to a GitHub repository. Uses n8n HTTP Request nodes with basic auth to fetch workflows, GitHub API nodes to create/edit JSON files, and cron scheduling. Ensures versioned workflow backups with commit metadata.",https://drive.google.com/file/d/1bemXDN1HFZmZ0bVv2prb5PtxD3V_jMPi/view?usp=sharing
GitHub Issue Auto-Assignment,"Automates assignment of GitHub issues using GitHub API and OAuth2. Listens to issue and comment events, assigns issues to creators or commenters who request assignment via keywords. Built with n8n workflow automation, improving GitHub repository management.",https://drive.google.com/file/d/1VLH7YXIGhswxZlGDWAcVUOjrE6jLezGW/view?usp=sharing
GitHub Issue Auto-Assignment Bot,"Automates GitHub issue assignment using n8n with GitHub OAuth2 API. Listens to issue and comment events, assigns issues based on 'assign me' comments, and adds labels/comments accordingly to streamline issue management.",https://drive.google.com/file/d/1hReVBzLgEQAFGaB6lZo172ktrV45XECi/view?usp=sharing
GitHub Issues Notion Sync,"Automates synchronization of GitHub issues with a Notion database using GitHub webhook trigger and Notion API integration in n8n. It creates, updates, archives, and manages issue states inside Notion, enabling seamless issue tracking within a Notion workspace.",https://drive.google.com/file/d/1-r0vHZT7hwnuXLopXLtWKD5v9JHEl0sS/view?usp=sharing
Zendesk to GitHub Issue Sync,"Automates syncing Zendesk tickets with GitHub issues by creating issues or comments when new tickets are received. Uses Zendesk API, GitHub API, and n8n workflows for seamless ticket and issue management.",https://drive.google.com/file/d/1fdtGxto6HJgWX4OeebZbVUUh7IvE7BXm/view?usp=sharing
